t,id,class_index,weight
0.5,3623,49,3.793521109834649e-17
0.5,3623,50,0.05756016591636212
0.5,3623,51,2.3727706348703968e-17
0.5,3623,52,0.005484388910734391
0.5,3623,53,4.26817134464011e-18
0.5,3623,54,2.3641586882094557e-18
0.5,3623,55,0.0
0.5,3623,56,0.025439949979681555
0.5,3623,57,0.0
0.5,3623,58,0.0
0.5,3623,59,0.029527537623777057
0.5,3623,60,0.0
0.5,3623,61,0.0
0.5,3623,62,1.3266343942805124e-17
0.5,3623,63,1.967359435276631e-17
0.5,3623,64,0.006094436375799587
0.5,3623,65,1.1884449477953976e-17
0.5,3623,66,9.994921076018738e-18
0.5,3623,67,5.1775580131790444e-18
0.5,3623,68,0.0
0.5,3623,69,0.0
0.5,3623,70,4.4231969059589704e-17
0.5,3623,71,0.0
0.5,3623,72,0.041342855105532185
0.5,3623,73,0.07164598871622693
0.5,3623,74,0.01808373863598537
0.5,3623,75,0.0
0.5,3623,76,1.6743653386669394e-17
0.5,3623,77,6.3598950369548675e-21
0.5,3623,78,3.5573345379533843e-20
0.5,3623,79,0.08301830269202207
0.5,3623,80,0.03832204771219184
0.5,3623,81,0.03957236232734149
0.5,3623,82,0.034302874248969405
0.5,3623,83,0.0
0.5,3623,84,0.030465205531547777
0.5,3623,85,0.0
0.5,3623,86,0.0
0.5,3623,87,2.0368793725794524e-17
0.5,3623,88,1.0861444741750967e-17
0.5,3623,89,0.0
0.5,3623,90,0.016393128330766574
0.5,3623,91,0.07034733302364306
0.5,3623,92,0.0
0.5,3623,93,3.7388383647679906e-17
0.5,3623,94,6.0418253695398956e-18
0.5,3623,95,0.0
0.5,3623,96,0.0
0.5,3623,97,5.850033922283061e-17
0.5,3623,98,1.3013197595973875e-16
0.5,3623,99,1.3095887953918996e-17
0.5,2797,0,0.0
0.5,2797,1,0.0
0.5,2797,2,0.0
0.5,2797,3,7.892264830383522e-17
0.5,2797,4,4.543566955173096e-19
0.5,2797,5,6.139308495719223e-17
0.5,2797,6,2.8205242079013574e-17
0.5,2797,7,5.2466809650548597e-17
0.5,2797,8,1.3412931435634953e-16
0.5,2797,9,1.9986337159808787e-17
0.5,2797,10,0.08777888400087158
0.5,2797,11,6.914529692574615e-18
0.5,2797,12,8.69149716936841e-17
0.5,2797,13,0.016900555058417147
0.5,2797,14,0.009243367725362555
0.5,2797,15,0.004369973623694703
0.5,2797,16,0.0
0.5,2797,17,0.0
0.5,2797,18,0.01711158953498633
0.5,2797,19,2.636381939099429e-17
0.5,2797,20,3.0222800532295213e-17
0.5,2797,21,2.613161726784844e-17
0.5,2797,22,0.0
0.5,2797,23,0.0
0.5,2797,24,0.0
0.5,2797,25,0.0
0.5,2797,26,1.1898500528121809e-17
0.5,2797,27,7.30223332467668e-18
0.5,2797,28,2.8089057975704845e-17
0.5,2797,29,2.4741561001295155e-18
0.5,2797,30,0.0
0.5,2797,31,0.0
0.5,2797,32,3.5982502053781624e-17
0.5,2797,33,0.0
0.5,2797,34,1.5590297161971993e-17
0.5,2797,35,3.4372681182634905e-18
0.5,2797,36,1.431232747327607e-17
0.5,2797,37,5.4753128918587544e-17
0.5,2797,38,0.0
0.5,2797,39,5.4877018385303735e-17
0.5,2797,40,2.315273839910034e-18
0.5,2797,41,0.0
0.5,2797,42,7.254756546034394e-18
0.5,2797,43,4.2801385032606035e-17
0.5,2797,44,0.0
0.5,2797,45,0.03170236418737072
0.5,2797,46,2.2913495828636765e-17
0.5,2797,47,0.0
0.5,2797,48,0.0
0.5,2797,49,0.03770319074684894
0.5,2797,50,0.058929422565213455
0.5,2797,51,0.04010312568679815
0.5,2797,52,0.0
0.5,2797,53,0.0
0.5,2797,54,0.0
0.5,2797,55,0.0432109774821188
