seed,time,condition_a,condition_b,comparison,paired_rms,baseline_projection_scale,rbf_bandwidth,swd_mean,swd_std,linear_mmd2_mean,linear_mmd2_std,c2st_auc_mean,c2st_auc_std,swd_mean_excess_over_split_null,linear_mmd2_mean_excess_over_split_null,c2st_auc_mean_excess_over_split_null
1,0.85,factorized_g1p5_r1p35,closed_g3,cross_condition,0.1780123859643936,0.720085620880127,5.566220578962501,0.0644718785696462,0.0034359466291386,0.0014636589893945,0.0066365573889896,,,-0.018465204444778643,0.0029300550011944998,
1,0.85,factorized_g2_r1p35,factorized_g2p5_r1p35,cross_condition,0.0709395632147789,0.720085620880127,5.566220578962501,0.0649768739595724,0.0026631848529743,0.0009123164673576,0.0070508777205971,,,-0.020822780728703846,-3.6867326023199754e-05,
1,0.85,factorized_g2_r1p35,factorized_g3_r1,cross_condition,0.1364274621009826,0.720085620880127,5.566220578962501,0.0664441626039285,0.0050585964074922,0.0011935997900143,0.0062428388530291,,,-0.019210052034143138,0.0002809789698698501,
1,0.85,factorized_g2_r1p35,closed_g3,cross_condition,0.1859890669584274,0.720085620880127,5.566220578962501,0.066600129827057,0.0031097075722275,0.0028541699929261,0.0094902935670021,,,-0.017404045151759903,0.002896675675481,
1,0.85,factorized_g2p5_r1p35,factorized_g3_r1,cross_condition,0.1673392206430435,0.720085620880127,5.566220578962501,0.0682837329967314,0.0038147176386456,-0.0032602363254785,0.0085676337070388,,,-0.01800541461456029,-0.0009166732807654502,
1,0.85,factorized_g2p5_r1p35,closed_g3,cross_condition,0.2036645859479904,0.720085620880127,5.566220578962501,0.0688141795137344,0.0022022523884693,-0.0029413102321541,0.0106019435049842,,,-0.015824928438302535,0.0003573793152582996,
1,0.85,factorized_g3_r1,closed_g3,cross_condition,0.1654135882854461,0.720085620880127,5.566220578962501,0.0633712965793786,0.0017428476280055,0.00688630901574,0.0056809958352263,,,-0.02112237132245376,0.01022156153638875,
1,0.9,baseline,baseline,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.0865410297997468,0.0057815930632141,0.0058057574071936,0.0095848556870489,,,,,
1,0.9,factorized_g1_r1p5,factorized_g1_r1p5,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.0900527416275215,0.0060050525882191,0.0001827070666927,0.0070421553749246,,,,,
1,0.9,factorized_g1p5_r1p35,factorized_g1p5_r1p35,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.0878817173354427,0.0047621708480897,-0.0005102915989879,0.0064012286916601,,,,,
1,0.9,factorized_g2_r1p35,factorized_g2_r1p35,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.0896151715191747,0.0041568951672196,-0.0016588370339151,0.007005197486065,,,,,
1,0.9,factorized_g2p5_r1p35,factorized_g2p5_r1p35,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.092460096165918,0.0062028456458583,0.0045912408017332,0.0054138455427026,,,,,
1,0.9,factorized_g3_r1,factorized_g3_r1,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.0881700440757132,0.0072846841888568,0.0021638376794538,0.008125424401517,,,,,
1,0.9,closed_g3,closed_g3,within_condition_split,0.0,0.7522170543670654,5.809022979740544,0.0862580483899473,0.0037213220360301,0.0015311870899733,0.0067376022424552,,,,,
1,0.9,baseline,factorized_g1_r1p5,cross_condition,0.2928487062454223,0.7522170543670654,5.809022979740544,0.0755410866727627,0.0042909911728038,-0.0010780837753069,0.0125439171091873,,,-0.012755799040871443,-0.004072316012250049,
1,0.9,baseline,factorized_g1p5_r1p35,cross_condition,0.2783487141132355,0.7522170543670654,5.809022979740544,0.0721127626077542,0.0033278673205318,-0.0034208446184876,0.0054704150102792,,,-0.015098610959840553,-0.0060685775225904496,
1,0.9,baseline,factorized_g2_r1p35,cross_condition,0.3232606053352356,0.7522170543670654,5.809022979740544,0.0802702628968743,0.005316580922974,0.0010581438485427,0.009702568741632,,,-0.00780783776258645,-0.0010153163380965502,
1,0.9,baseline,factorized_g2p5_r1p35,cross_condition,0.3623398244380951,0.7522170543670654,5.809022979740544,0.0868487339622722,0.0046763655693357,-0.0025133615770155,0.0085788137469007,,,-0.0026518290205602008,-0.0077118606814789,
1,0.9,baseline,factorized_g3_r1,cross_condition,0.2357065826654434,0.7522170543670654,5.809022979740544,0.0764020534702231,0.0044369099832213,-0.0044922580124573,0.0085535306732123,,,-0.010953483467506908,-0.008477055555781,
1,0.9,baseline,closed_g3,cross_condition,0.2762340009212494,0.7522170543670654,5.809022979740544,0.0745575949394522,0.0031748131307287,0.0008926197556335,0.006546812818969,,,-0.011841944155394843,-0.0027758524929499496,
1,0.9,factorized_g1_r1p5,factorized_g1p5_r1p35,cross_condition,0.0710806772112846,0.7522170543670654,5.809022979740544,0.0675281565299505,0.0037103377863023,-0.0011476332689077,0.0056883414243319,,,-0.021439072951531593,-0.0009838410027601,
1,0.9,factorized_g1_r1p5,factorized_g2_r1p35,cross_condition,0.1213017851114273,0.7522170543670654,5.809022979740544,0.0668722640396421,0.0039495031360324,-0.0049275348062334,0.0119531756606106,,,-0.022961692533706002,-0.004189469822622201,
1,0.9,factorized_g1_r1p5,factorized_g2p5_r1p35,cross_condition,0.1730054914951324,0.7522170543670654,5.809022979740544,0.071879929067645,0.0031173192207651,7.608539915042643e-05,0.0052831174512325,,,-0.01937648982907475,-0.0023108885350625235,
