arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,sfid,inception_score,independent_top1,independent_target_probability,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,complete
fsg_operator_control_06,,fsg_operator_control,fsg_operator_control,control,heun64,2.25,0.0625,False,64.50899420134482,208.12544491015672,71.65011596679688,0.9459999799728394,0.9041965007781982,260.0,0.0,0.0,0.0,193.96534567093477,True
fsg_operator_control_07,,fsg_operator_control,fsg_operator_control,control,heun64,2.25,0.125,False,65.62299933651343,207.29026551044376,71.96454620361328,0.9480000138282776,0.911166787147522,260.0,0.0,0.0,0.0,191.61253833211958,True
semantic_contract_control_06,,semantic_contract_control,semantic_contract,control,heun64,2.25,0.5,True,51.405048157766714,207.11274399559932,69.98654174804688,0.9290000200271606,0.8682705760002136,484.0,0.0,8.0,8.0,453.44801760837436,True
semantic_contract_control_07,,semantic_contract_control,semantic_contract,control,heun64,2.25,0.8,True,51.511747389381185,207.26485589205095,70.00162506103516,0.9300000071525574,0.8690217733383179,484.0,0.0,8.0,8.0,453.0833741868846,True
cfg_sde_native_04,,cfg_sde_native,native_sde,native,sde_tail64,2.75,0.0,False,55.02627908504002,208.91427717744023,70.02789306640625,0.9300000071525574,0.8800357580184937,128.0,0.0,0.0,0.0,103.5112773720175,True
full_root_control_08,,full_root_control,full_root,control,heun64,2.75,0.5,False,53.91419462827059,207.611961590923,70.3941650390625,0.9319999814033508,0.8823135495185852,740.0,0.0,0.0,0.0,503.95928187528625,True
full_root_control_09,,full_root_control,full_root,control,heun64,2.75,1.0,False,53.929683784202666,207.6206242991318,70.37889099121094,0.9380000233650208,0.8834933042526245,740.0,0.0,0.0,0.0,503.7086965306662,True
fsg_operator_control_08,,fsg_operator_control,fsg_operator_control,control,heun64,2.75,0.0625,False,67.26703912573754,210.15032438294907,70.25305938720703,0.9340000152587891,0.8999160528182983,260.0,0.0,0.0,0.0,193.40368746500462,True
fsg_operator_control_09,,fsg_operator_control,fsg_operator_control,control,heun64,2.75,0.125,False,68.9070340161822,209.13026588554305,71.9454345703125,0.9480000138282776,0.9108544588088989,260.0,0.0,0.0,0.0,192.6279165148735,True
semantic_contract_control_08,,semantic_contract_control,semantic_contract,control,heun64,2.75,0.5,True,54.35345075038936,207.69962881748438,70.46720123291016,0.9369999766349792,0.8832369446754456,484.0,0.0,8.0,8.0,452.00730547402054,True
semantic_contract_control_09,,semantic_contract_control,semantic_contract,control,heun64,2.75,0.8,True,54.429713753601675,207.84767130483135,70.59848022460938,0.9380000233650208,0.8837490677833557,484.0,0.0,8.0,8.0,453.11600797018036,True
cfg_smc_control_00,,cfg_smc_control,smc_control,control,heun64,1.25,0.1,False,67.91990553904168,216.551282808927,36.29615020751953,0.5550000071525574,0.4470730721950531,224.0,0.0,0.0,0.0,166.17463987972587,True
cfg_smc_control_01,,cfg_smc_control,smc_control,control,heun64,1.25,0.2,False,68.69307833317845,217.11437001364482,38.41063690185547,0.574999988079071,0.45008209347724915,224.0,0.0,0.0,0.0,162.4339459137991,True
cfg_smc_control_02,,cfg_smc_control,smc_control,control,heun64,2.0,0.1,False,52.01386028632959,212.21983848620187,49.63959884643555,0.7250000238418579,0.6151373386383057,224.0,0.0,0.0,0.0,167.11798005690798,True
cfg_smc_control_03,,cfg_smc_control,smc_control,control,heun64,2.0,0.2,False,49.25373725467688,211.9941579585808,52.70213317871094,0.7730000019073486,0.6566199660301208,224.0,0.0,0.0,0.0,169.8404915179126,True
cfg_smc_control_04,,cfg_smc_control,smc_control,control,heun64,2.75,0.1,False,46.611259878056046,208.94565928174495,57.57215881347656,0.8270000219345093,0.7267242670059204,224.0,0.0,0.0,0.0,163.31854619737715,True
cfg_smc_control_05,,cfg_smc_control,smc_control,control,heun64,2.75,0.2,False,44.488962920223685,209.3515889578805,62.3970947265625,0.8669999837875366,0.7730140089988708,224.0,0.0,0.0,0.0,169.55965915787965,True
a1_golden_tube_00,A1,a1_golden_tube,golden_tube,candidate,heun64,0.75,0.25,False,48.71084341002825,210.6746029029798,51.91967010498047,0.7879999876022339,0.6773187518119812,1060.0,0.0,0.0,0.0,713.4462151089683,True
