noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.439999999999999947e+00,-9.812703877049452350e-01,-9.937175734303411723e-01,-9.657114055482001191e-01,-9.280381642669288667e-01
-1.435000000000000053e+00,-9.808956386326895815e-01,-9.935910666848860595e-01,-9.650263535674439286e-01,-9.266377630321060987e-01
-1.429999999999999938e+00,-9.805134651879544583e-01,-9.934620208767228622e-01,-9.643277705769941477e-01,-9.252111666429049253e-01
-1.424999999999999822e+00,-9.801237232613443373e-01,-9.933303853851733756e-01,-9.636153956065580672e-01,-9.237579265733230072e-01
-1.419999999999999929e+00,-9.797262660665703171e-01,-9.931961085941654055e-01,-9.628889629070762624e-01,-9.222775882440185091e-01
-1.415000000000000036e+00,-9.793209440956082146e-01,-9.930591378732213093e-01,-9.621482018735916242e-01,-9.207696910064205875e-01
-1.410000000000000142e+00,-9.789076050733115375e-01,-9.929194195581070304e-01,-9.613928369673170327e-01,-9.192337681299452834e-01
-1.405000000000000027e+00,-9.784860939114741196e-01,-9.927768989311369641e-01,-9.606225876368956751e-01,-9.176693467924694758e-01
-1.399999999999999911e+00,-9.780562526623530761e-01,-9.926315202011281036e-01,-9.598371682388844306e-01,-9.160759480742218797e-01
-1.395000000000000018e+00,-9.776179204716493043e-01,-9.924832264829984707e-01,-9.590362879574629851e-01,-9.144530869552510710e-01
-1.390000000000000124e+00,-9.771709335309533007e-01,-9.923319597770051681e-01,-9.582196507233884386e-01,-9.128002723166404042e-01
-1.385000000000000009e+00,-9.767151250296591813e-01,-9.921776609476163911e-01,-9.573869551322127247e-01,-9.111170069456351328e-01
-1.379999999999999893e+00,-9.762503251063515686e-01,-9.920202697020118476e-01,-9.565378943617763863e-01,-9.094027875448597031e-01
-1.375000000000000000e+00,-9.757763607996744470e-01,-9.918597245682078123e-01,-9.556721560890080180e-01,-9.076571047458056318e-01
-1.370000000000000107e+00,-9.752930559986827674e-01,-9.916959628727987086e-01,-9.547894224060380353e-01,-9.058794431267698233e-01
-1.364999999999999991e+00,-9.748002313926921181e-01,-9.915289207183131115e-01,-9.538893697356660706e-01,-9.040692812354329533e-01
-1.359999999999999876e+00,-9.742977044206253545e-01,-9.913585329601761753e-01,-9.529716687461866620e-01,-9.022260916162712086e-01
-1.354999999999999982e+00,-9.737852892198731736e-01,-9.911847331832742691e-01,-9.520359842656218596e-01,-9.003493408429935618e-01
-1.350000000000000089e+00,-9.732627965746728504e-01,-9.910074536781177112e-01,-9.510819751953665246e-01,-8.984384895562111950e-01
