scale,solver_index_in_ig_interval,time,delta_t,paired_nmse,paired_nrmse
0.92,86,0.5656565427780151,0.021153947855518607,0.1293668282686125,0.3596760045771924
0.92,87,0.5445026159286499,0.022763487366264545,0.12401346305530073,0.3521554529682889
0.92,88,0.52173912525177,0.02456398919184477,0.11846634465371686,0.344189402297219
0.92,89,0.4971751272678375,0.026586905948820183,0.11266634374716773,0.3356580756471796
0.92,90,0.47058823704719543,0.028870443883074692,0.10654796162449948,0.32641685254364466
0.92,91,0.44171780347824097,0.031461381154632706,0.09999710617135538,0.31622319043889774
0.92,92,0.41025641560554504,0.034417484081913585,0.0928939566290013,0.3047850990927891
0.92,93,0.3758389353752136,0.037810757160412156,0.08505631015046727,0.2916441498649806
0.92,94,0.3380281627178192,0.04173187271778822,0.07624995316128444,0.27613394061810737
0.92,95,0.29629629850387573,0.04629629629629628,0.06615885240082887,0.2572136318332076
0.92,96,0.25,0.051652892561983466,0.05440582331449514,0.23325055908720807
0.92,97,0.19834710657596588,0.057996230245034086,0.040698140050522594,0.2017378002520167
0.92,98,0.14035087823867798,0.06558452205279554,0.025514659513042475,0.1597330883475383
1.0,0,1.0,0.0012610340479192184,0.8120969855733358,0.9011642389561049
1.0,1,0.9987389445304871,0.0012834952141672629,0.8078687984975813,0.8988152193290795
1.0,2,0.9974554777145386,0.0013065618804039003,0.8035096092599076,0.8963869751730597
1.0,3,0.9961488842964172,0.0013302560077687042,0.7980098267242984,0.8933139575335753
1.0,4,0.9948186278343201,0.0013546005621591917,0.7899216670258621,0.8887753748984397
1.0,5,0.9934640526771545,0.001379619569903734,0.7795903337657683,0.882944128337557
1.0,6,0.9920844435691833,0.0014053381770655626,0.7672164112058624,0.8759089057692372
1.0,7,0.9906790852546692,0.0014317827126554272,0.7530225181535846,0.8677687008377201
1.0,8,0.9892473220825195,0.0014589807560437817,0.7387722667384117,0.8595186250096106
1.0,9,0.9877883195877075,0.0014869612088994622,0.7251239692285547,0.851542112422254
1.0,10,0.9863013625144958,0.00151575437200413,0.7118183832440815,0.8436932992765094
1.0,11,0.9847856163978577,0.001545392027322512,0.6976667540825273,0.8352644815162006
1.0,12,0.9832402467727661,0.0015759075257463229,0.6828836881421944,0.8263677680925088
1.0,13,0.9816642999649048,0.0016073358809607363,0.6690619302348647,0.8179620591658666
1.0,14,0.9800570011138916,0.001639713869929782,0.6557752106631465,0.8097994879370736
1.0,15,0.9784172773361206,0.0016730801405386853,0.6424113941179296,0.801505704357698
1.0,16,0.9767441749572754,0.0017074753269814558,0.6289679283453815,0.7930749828013626
1.0,17,0.9750367403030396,0.0017429421735359885,0.6156704002262813,0.7846466722202301
1.0,18,0.9732937812805176,0.0017795256674334459,0.6027584582653067,0.776375204566263
1.0,19,0.9715142250061035,0.0018172731815909726,0.5899909658551583,0.7681086940369561
1.0,20,0.9696969985961914,0.001856234628056952,0.5768023744078299,0.7594750650336256
1.0,21,0.9678407311439514,0.0018964626230922876,0.5640474896442161,0.751030951189241
1.0,22,0.9659442901611328,0.0019380126649128915,0.551557349081755,0.7426690710415743
1.0,23,0.964006245136261,0.0019809433252113706,0.5396613745487385,0.7346164812667482
1.0,24,0.9620253443717957,0.0020253164556962577,0.5287543450128737,0.727154966298707
1.0,25,0.9599999785423279,0.002071197411003145,0.5186066783799811,0.7201435123501295
1.0,26,0.9579287767410278,0.0021186552894877364,0.5090748207422248,0.713494793773735
1.0,27,0.9558101296424866,0.002167763193548833,0.49965053155949957,0.7068596264885267
