weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth8,0.15,2744,test,finite_nonnegative,0.003,0.09633333333333334,1.45887362492988e-05,1.475831961423532e-05
depth8,0.15,2114,test,finite_nonnegative,0.003,0.09633333333333334,8.161021068775061e-06,7.976216915236998e-06
depth8,0.15,843,test,finite_nonnegative,0.003,0.09633333333333334,1.806307900377633e-05,1.7480277727637304e-05
depth8,0.15,3732,test,finite_nonnegative,0.003,0.09633333333333334,1.5110369967890998e-05,1.4782212083963926e-05
depth8,0.15,3823,test,finite_nonnegative,0.003,0.09633333333333334,1.6074313855068808e-05,1.50974713288395e-05
depth8,0.15,2922,test,finite_nonnegative,0.003,0.09633333333333334,1.173382532098643e-05,1.074457943674031e-05
depth8,0.15,1517,test,finite_nonnegative,0.003,0.09633333333333334,1.2157477953862535e-05,1.2765070570939921e-05
depth8,0.15,1686,test,finite_nonnegative,0.003,0.09633333333333334,7.728416818119936e-06,8.035595976962309e-06
depth8,0.15,4998,test,finite_nonnegative,0.003,0.09633333333333334,1.3829720717873056e-05,1.5603182528599602e-05
depth8,0.15,151,test,finite_nonnegative,0.003,0.09633333333333334,8.220584537532623e-06,7.694026134262765e-06
depth8,0.15,3630,test,finite_nonnegative,0.003,0.09633333333333334,1.7414716988483074e-05,1.6251038245213424e-05
depth8,0.15,1841,test,finite_nonnegative,0.003,0.09633333333333334,1.5361415094257263e-05,1.6037785634804925e-05
depth8,0.15,3028,test,finite_nonnegative,0.003,0.09633333333333334,3.1195696329333416e-05,3.202979982717132e-05
depth8,0.15,2347,test,finite_nonnegative,0.003,0.09633333333333334,9.596690754441904e-06,1.0672901433865488e-05
depth8,0.15,4021,test,finite_nonnegative,0.003,0.09633333333333334,1.9340110548240176e-05,1.731076958358576e-05
depth8,0.15,713,fit,finite_signed,0.003,0.09633333333333334,8.478387354563158e-06,7.950736058545738e-06
depth8,0.15,3623,fit,finite_signed,0.003,0.09633333333333334,8.415198207600169e-06,8.790838257074474e-06
depth8,0.15,3296,fit,finite_signed,0.003,0.09633333333333334,2.0020132541787456e-05,2.02835070880347e-05
depth8,0.15,4345,fit,finite_signed,0.003,0.09633333333333334,9.57942240020516e-06,1.058850040827128e-05
depth8,0.15,2364,fit,finite_signed,0.003,0.09633333333333334,1.508601073559674e-05,1.6045667753083435e-05
depth8,0.15,3510,fit,finite_signed,0.003,0.09633333333333334,3.483251394049463e-05,3.3846973652385036e-05
depth8,0.15,4640,fit,finite_signed,0.003,0.09633333333333334,1.374011942109588e-05,1.312205710226398e-05
depth8,0.15,1298,fit,finite_signed,0.003,0.09633333333333334,9.649052780238413e-06,9.939289927292956e-06
depth8,0.15,708,fit,finite_signed,0.003,0.09633333333333334,8.472830053117583e-06,8.741513303353208e-06
depth8,0.15,1505,fit,finite_signed,0.003,0.09633333333333334,5.530518168268089e-05,5.664728798419754e-05
depth8,0.15,2304,fit,finite_signed,0.003,0.09633333333333334,1.2895053492980315e-05,1.2822052728335363e-05
depth8,0.15,307,fit,finite_signed,0.003,0.09633333333333334,1.4377578218858734e-05,1.3388655625129571e-05
depth8,0.15,4093,fit,finite_signed,0.003,0.09633333333333334,1.098663442933473e-05,1.0337415973290878e-05
depth8,0.15,769,fit,finite_signed,0.003,0.09633333333333334,2.138668424943214e-05,2.255131700074874e-05
depth8,0.15,3769,fit,finite_signed,0.003,0.09633333333333334,9.647019341148345e-06,1.0052223561070904e-05
depth8,0.15,1780,fit,finite_signed,0.003,0.09633333333333334,2.1762202063416678e-05,2.096166149954123e-05
depth8,0.15,2797,test,finite_signed,0.003,0.09633333333333334,1.6681741437483283e-05,1.663075740698132e-05
depth8,0.15,2744,test,finite_signed,0.003,0.09633333333333334,1.45887362492988e-05,1.475831961423532e-05
depth8,0.15,2114,test,finite_signed,0.003,0.09633333333333334,8.161021068775061e-06,7.976216915236998e-06
depth8,0.15,843,test,finite_signed,0.003,0.09633333333333334,1.806307900377633e-05,1.7480277727637304e-05
depth8,0.15,3732,test,finite_signed,0.003,0.09633333333333334,1.5110369967890998e-05,1.4782212083963926e-05
depth8,0.15,3823,test,finite_signed,0.003,0.09633333333333334,1.6074313855068808e-05,1.50974713288395e-05
depth8,0.15,2922,test,finite_signed,0.003,0.09633333333333334,1.173382532098643e-05,1.074457943674031e-05
depth8,0.15,1517,test,finite_signed,0.003,0.09633333333333334,1.2157477953862535e-05,1.2765070570939921e-05
depth8,0.15,1686,test,finite_signed,0.003,0.09633333333333334,7.728416818119936e-06,8.035595976962309e-06
depth8,0.15,4998,test,finite_signed,0.003,0.09633333333333334,1.3829720717873056e-05,1.5603182528599602e-05
depth8,0.15,151,test,finite_signed,0.003,0.09633333333333334,8.220584537532623e-06,7.694026134262765e-06
depth8,0.15,3630,test,finite_signed,0.003,0.09633333333333334,1.7414716988483074e-05,1.6251038245213424e-05
depth8,0.15,1841,test,finite_signed,0.003,0.09633333333333334,1.5361415094257263e-05,1.6037785634804925e-05
depth8,0.15,3028,test,finite_signed,0.003,0.09633333333333334,3.1195696329333416e-05,3.202979982717132e-05
depth8,0.15,2347,test,finite_signed,0.003,0.09633333333333334,9.596690754441904e-06,1.0672901433865488e-05
depth8,0.15,4021,test,finite_signed,0.003,0.09633333333333334,1.9340110548240176e-05,1.731076958358576e-05
depth10,0.15,713,fit,finite_nonnegative,0.001,0.03211111111111112,3.7614049858755113e-06,3.894395305282748e-06
depth10,0.15,3623,fit,finite_nonnegative,0.001,0.03211111111111112,4.5595965287102156e-06,4.802941160935445e-06
depth10,0.15,3296,fit,finite_nonnegative,0.001,0.03211111111111112,8.059460452353572e-06,8.109759548372397e-06
depth10,0.15,4345,fit,finite_nonnegative,0.001,0.03211111111111112,5.126569586154773e-06,5.220342802963125e-06
depth10,0.15,2364,fit,finite_nonnegative,0.001,0.03211111111111112,5.315858247862264e-06,5.309517815023541e-06
depth10,0.15,3510,fit,finite_nonnegative,0.001,0.03211111111111112,1.1876375711499522e-05,1.182921966899911e-05
depth10,0.15,4640,fit,finite_nonnegative,0.001,0.03211111111111112,4.606099109287568e-06,4.7558021480031645e-06
depth10,0.15,1298,fit,finite_nonnegative,0.001,0.03211111111111112,5.2597820235532105e-06,5.564757607362397e-06
depth10,0.15,708,fit,finite_nonnegative,0.001,0.03211111111111112,4.091762761604006e-06,4.217526393503269e-06
depth10,0.15,1505,fit,finite_nonnegative,0.001,0.03211111111111112,2.0435801936597633e-05,2.0429967243192933e-05
depth10,0.15,2304,fit,finite_nonnegative,0.001,0.03211111111111112,8.615746181767708e-06,8.638011457742327e-06
depth10,0.15,307,fit,finite_nonnegative,0.001,0.03211111111111112,4.675301999093495e-06,4.857269628501422e-06
depth10,0.15,4093,fit,finite_nonnegative,0.001,0.03211111111111112,4.421610209048956e-06,4.497913002585592e-06
depth10,0.15,769,fit,finite_nonnegative,0.001,0.03211111111111112,8.23542275263753e-06,8.14297124231426e-06
depth10,0.15,3769,fit,finite_nonnegative,0.001,0.03211111111111112,4.656155975210601e-06,4.715956768061213e-06
depth10,0.15,1780,fit,finite_nonnegative,0.001,0.03211111111111112,9.84869637543929e-06,9.836087439240932e-06
depth10,0.15,2797,test,finite_nonnegative,0.001,0.03211111111111112,5.9839249311788175e-06,6.041338616967454e-06
depth10,0.15,2744,test,finite_nonnegative,0.001,0.03211111111111112,8.761838385088946e-06,8.98868689095436e-06
depth10,0.15,2114,test,finite_nonnegative,0.001,0.03211111111111112,3.877761425837746e-06,4.019749570575339e-06
depth10,0.15,843,test,finite_nonnegative,0.001,0.03211111111111112,7.1814751103478895e-06,7.34285852065158e-06
depth10,0.15,3732,test,finite_nonnegative,0.001,0.03211111111111112,6.8409657843980206e-06,6.7513489558996446e-06
depth10,0.15,3823,test,finite_nonnegative,0.001,0.03211111111111112,5.716709874321987e-06,5.687993755927535e-06
depth10,0.15,2922,test,finite_nonnegative,0.001,0.03211111111111112,4.794731670988015e-06,4.830403412238444e-06
depth10,0.15,1517,test,finite_nonnegative,0.001,0.03211111111111112,4.78930623153685e-06,4.854914137445983e-06
depth10,0.15,1686,test,finite_nonnegative,0.001,0.03211111111111112,4.074184380938949e-06,4.073774686799463e-06
depth10,0.15,4998,test,finite_nonnegative,0.001,0.03211111111111112,8.734662835123519e-06,8.784037067533648e-06
depth10,0.15,151,test,finite_nonnegative,0.001,0.03211111111111112,3.3429001689251764e-06,3.425901359376872e-06
depth10,0.15,3630,test,finite_nonnegative,0.001,0.03211111111111112,1.1683321205316461e-05,1.170564204219148e-05
depth10,0.15,1841,test,finite_nonnegative,0.001,0.03211111111111112,6.51927518755981e-06,6.443445019493054e-06
depth10,0.15,3028,test,finite_nonnegative,0.001,0.03211111111111112,1.5997690628959663e-05,1.623421094113604e-05
depth10,0.15,2347,test,finite_nonnegative,0.001,0.03211111111111112,4.331409000273653e-06,4.46585695136641e-06
depth10,0.15,4021,test,finite_nonnegative,0.001,0.03211111111111112,6.247980824870962e-06,6.225614151496004e-06
depth10,0.15,713,fit,finite_signed,0.001,0.03211111111111112,3.7614049858755113e-06,3.894395305282748e-06
depth10,0.15,3623,fit,finite_signed,0.001,0.03211111111111112,4.5595965287102156e-06,4.802941160935445e-06
depth10,0.15,3296,fit,finite_signed,0.001,0.03211111111111112,8.059460452353572e-06,8.109759548372397e-06
depth10,0.15,4345,fit,finite_signed,0.001,0.03211111111111112,5.126569586154773e-06,5.220342802963125e-06
depth10,0.15,2364,fit,finite_signed,0.001,0.03211111111111112,5.315858247862264e-06,5.309517815023541e-06
depth10,0.15,3510,fit,finite_signed,0.001,0.03211111111111112,1.1876375711499522e-05,1.182921966899911e-05
depth10,0.15,4640,fit,finite_signed,0.001,0.03211111111111112,4.606099109287568e-06,4.7558021480031645e-06
