weak,t,q,delta,tau,fit_ratio,test_ratio
depth10,0.3,5.4444444444444455,0.1,0.5444444444444446,4.36429989571083,4.099721024818968
depth10,0.3,5.4444444444444455,0.25,1.3611111111111114,20.821580899741473,18.735970002618544
depth10,0.3,5.4444444444444455,0.5,2.7222222222222228,60.66434174556083,54.22144116566022
depth10,0.3,5.4444444444444455,1.0,5.4444444444444455,143.32206342441958,128.02465470159962
depth10,0.3,5.4444444444444455,2.0,10.888888888888891,264.80586014403156,236.52152215284448
depth10,0.3,5.4444444444444455,4.0,21.777777777777782,391.07446250766685,349.2596141533694
external_v500,0.3,5.4444444444444455,-0.75,-4.083333333333334,16162.494428156966,10539.506303347618
external_v500,0.3,5.4444444444444455,-0.5,-2.7222222222222228,2353.4988959389816,1536.4142587440963
external_v500,0.3,5.4444444444444455,-0.25,-1.3611111111111114,335.92230405241514,213.87757320124211
external_v500,0.3,5.4444444444444455,-0.1,-0.5444444444444446,44.12115765133024,28.679249116210045
external_v500,0.3,5.4444444444444455,-0.03,-0.16333333333333336,4.545961029544393,3.2756142371967005
external_v500,0.3,5.4444444444444455,-0.01,-0.054444444444444455,1.4019562769387788,1.257283880812358
external_v500,0.3,5.4444444444444455,0.0,0.0,1.0,1.0
external_v500,0.3,5.4444444444444455,0.01,0.054444444444444455,1.3309297774460158,1.215268254670983
external_v500,0.3,5.4444444444444455,0.03,0.16333333333333336,4.055765437244493,2.9753566287709687
external_v500,0.3,5.4444444444444455,0.1,0.5444444444444446,32.00281459486536,21.034284541242172
external_v500,0.3,5.4444444444444455,0.25,1.3611111111111114,156.26219720137104,101.94018253542436
external_v500,0.3,5.4444444444444455,0.5,2.7222222222222228,446.19474330879933,292.4635674749615
external_v500,0.3,5.4444444444444455,1.0,5.4444444444444455,1038.2269460967166,683.5381333169654
external_v500,0.3,5.4444444444444455,2.0,10.888888888888891,1901.0721028150122,1253.5440392794956
external_v500,0.3,5.4444444444444455,4.0,21.777777777777782,2793.929588472083,1843.1274991792518
depth4,0.5,1.0,-0.75,-0.75,25.133977055626698,20.02924285778608
depth4,0.5,1.0,-0.5,-0.5,6.134630840042701,5.071457270893713
depth4,0.5,1.0,-0.25,-0.25,2.1819763123660074,2.006960232325013
depth4,0.5,1.0,-0.1,-0.1,1.261002042765978,1.253433536032535
depth4,0.5,1.0,-0.03,-0.03,1.0511292724939079,1.0560911112013702
depth4,0.5,1.0,-0.01,-0.01,1.0146143151822624,1.0168339736306407
depth4,0.5,1.0,0.0,0.0,1.0,1.0
depth4,0.5,1.0,0.01,0.01,0.9877434663124102,0.985002218295289
depth4,0.5,1.0,0.03,0.03,0.970055974525286,0.960349414526487
depth4,0.5,1.0,0.1,0.1,0.9736374390923811,0.9257694390025127
depth4,0.5,1.0,0.25,0.25,1.2508667211372126,1.0652292901431206
depth4,0.5,1.0,0.5,0.5,2.189636901728248,1.683123685481444
depth4,0.5,1.0,1.0,1.0,4.553000117999795,3.4137379696436754
depth4,0.5,1.0,2.0,2.0,8.679182970554654,6.537817658828887
depth4,0.5,1.0,4.0,4.0,13.60135012861954,10.327074467522488
depth6,0.5,1.0,-0.75,-0.75,27.076792439672822,23.28416715803091
depth6,0.5,1.0,-0.5,-0.5,6.578712469507458,5.796547125781595
depth6,0.5,1.0,-0.25,-0.25,2.2652001905592467,2.15523664907641
