k,objective,iteration,variant,shift_rms,state_rms,agreement_rms,write_rms,local_gap_rms,agreement_ratio,write_ratio,local_gap_ratio,conditional_drift_rms,guided_drift_rms,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,g_resnet_p,g_resnet_top1,g_resnet_prediction,g_convnext_p,g_convnext_top1,g_convnext_prediction,initial_agreement_rms,initial_local_gap_rms,initial_state_rms,conditional_drift_over_initial_gap,guided_drift_over_initial_gap,shift_over_initial_state_rms,reference_radius_rms,shift_over_reference_radius,coarse_relative_mse,coarse_objective_rms_ratio,fine_objective_rms_ratio,n
8,local,0,optimized,0.0,0.8817509859800339,0.24532684218138456,0.24532684218138456,0.11758562223985791,1.0,1.0,1.0,0.0,0.0,0.01343857176389629,0.0,422.9375,0.00591711167635367,0.0625,438.9375,0.36749983683290566,0.5,465.5,0.3009701278833745,0.4375,397.375,0.7502424882359264,0.8125,432.9375,0.6158252313543926,0.8125,519.4375,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.0,0.0,0.0,0.0091863767374889,0.0,1.0,1.0,1.0,16
8,local,1,optimized,0.009054418926098151,0.8815278485417366,0.223552365321666,0.25204652827233076,0.0971726702991873,0.9199336245656013,1.041420228779316,0.8315672911703587,0.10250688344240189,0.1083822469227016,0.01380833878116361,0.0,458.1875,0.00465088756050136,0.0,428.25,0.35990160148102746,0.5,443.625,0.2785918873105402,0.5,422.125,0.722828743008904,0.875,461.125,0.6014584643198759,0.875,520.375,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.4352169776814242,0.4746007979358307,0.010244913565469771,0.0091863767374889,1.1191151074970391,0.7017431426793337,0.8315672846475117,0.8315672911703587,16
8,local,4,optimized,0.04928207444027066,0.880855854600668,0.16112165059894323,0.38744016364216805,0.05289651046041399,0.6970655918121338,1.7054497674107552,0.4716169573366642,0.3691502269357443,0.44412176590412855,0.008941083221813528,0.0,370.25,0.004503419056618441,0.0,421.1875,0.25535861124470216,0.4375,397.4375,0.15455386472604005,0.25,405.5,0.4321174599972437,0.5625,424.75,0.38361527625238523,0.625,435.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,1.629367532723448,1.92739512246804,0.05580443513775991,0.0091863767374889,6.072917685458533,0.232428384013474,0.4716169571590377,0.4716169573366642,16
8,local,16,optimized,0.14137116726487875,0.8773545138537884,0.1389875547029078,0.5753836408257484,0.022867231455165893,0.6110897259786725,2.5930514186620712,0.21117740496993065,0.5681839324533939,0.6210124492645264,0.05090230930477446,0.125,424.9375,0.029978473377923365,0.0625,437.3125,0.12325038473591121,0.125,421.125,0.09487702734168124,0.125,480.625,0.3211195794156083,0.375,459.125,0.26409488253557356,0.375,453.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,2.5577083553410707,2.7665879044743145,0.16019601717523843,0.0091863767374889,17.467084135005777,0.04817491926951334,0.2111774050898329,0.21117740496993065,16
8,local,32,optimized,0.19872182793915272,0.8733489848673344,0.12471577012911439,0.6184621714055538,0.016924472933169454,0.5366170676425099,2.7725212648510933,0.1581080872565508,0.6100831739604473,0.6563642099499702,0.0314064878211866,0.0625,454.1875,0.009034408750039802,0.0625,544.375,0.05308857020645519,0.0625,440.1875,0.05384888733169646,0.125,566.6875,0.2215971061923483,0.25,419.6875,0.19379368524823803,0.375,470.0,0.24532684218138456,0.11758562223985791,0.8817509859800339,2.7376402343203434,2.9278831398213723,0.22529028635725865,0.0091863767374889,24.75569666349302,0.027515853405930102,0.15810808892032208,0.1581080872565508,16
8,local,64,cfg_equal,0.302942780777812,0.9383630752563477,0.21116459090262651,1.0957761332392693,0.22519434988498688,0.9590094611048698,5.046842738986015,2.1886234283447266,1.048806007951498,0.9698524437844753,0.0032296533290789853,0.0,519.9375,0.010388946835064417,0.0,484.0,0.08010867276402678,0.125,574.1875,0.13368483352496696,0.375,474.0,0.36945261005166685,0.5,385.5,0.3932936634228099,0.5625,393.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,4.8381945297124345,4.48115273093819,0.3436416502238152,0.0091863767374889,38.40485792805773,,,2.1886234283447266,16
8,local,64,optimized,0.30294277891516685,0.8649798147380352,0.12577872537076473,0.6641237065196037,0.012344607239356264,0.5285389889031649,2.9841202944517136,0.11553791491314769,0.6602127496153116,0.7004792466759682,0.011430249606291909,0.0625,535.8125,0.020405158985340677,0.0625,549.0625,0.04499006241621828,0.0625,408.0625,0.072343275833191,0.0625,436.875,0.14787143574358197,0.1875,403.3125,0.18059169233310968,0.375,434.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,2.9629239020158153,3.1295473886956415,0.3436416481050241,0.0091863767374889,38.40485771482675,0.014644201437477022,0.11553791511980738,0.11553791491314769,16
8,local,64,radius4_projected,0.03674550715368241,0.8743171468377113,0.20517783984541893,0.2639306038618088,0.09185107587836683,0.8675435408949852,1.0872993543744087,0.8210102282464504,0.1575572327710688,0.18601729813963175,0.013830266435912897,0.0,347.625,0.006278632689145525,0.0,433.5625,0.37885598247441976,0.5625,416.3125,0.2944814256497921,0.5,443.125,0.6597603841735236,0.8125,431.4375,0.5822396909497911,0.8125,487.1875,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.6410604836860465,0.7737159391487649,0.04160012753060392,0.0091863767374889,4.000000040970099,,,0.8210102282464504,16
8,local,64,radius_projected,0.009186376526486129,0.8797291480004787,0.23639628197997808,0.24247384397313,0.11127653066068888,0.9687113501131535,0.9915507175028324,0.9545579068362713,0.04183804499916732,0.049326216569170356,0.013508822070935622,0.0,392.5625,0.006295950779303894,0.0625,472.625,0.38290876677888264,0.5,450.0625,0.2851518453353492,0.4375,459.25,0.7231385162599508,0.8125,459.0,0.6139867818346829,0.875,484.375,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.1725193424118008,0.20237127094016288,0.010400031586933764,0.0091863767374889,0.9999999845898511,,,0.9545579068362713,16
8,write,0,optimized,0.0,0.8817509859800339,0.24532684218138456,0.24532684218138456,0.11758562223985791,1.0,1.0,1.0,0.0,0.0,0.01343857176389629,0.0,422.9375,0.00591711167635367,0.0625,438.9375,0.36749983683290566,0.5,465.5,0.3009701278833745,0.4375,397.375,0.7502424882359264,0.8125,432.9375,0.6158252313543926,0.8125,519.4375,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.0,0.0,0.0,0.0091863767374889,0.0,1.0,1.0,1.0,16
