family,sampling_progress,kappa,gamma,strong_error_rms,guided_error_l2,relative_equality_residual
growing_ratio,0.2,1.659753955386447,1.5157165665103975,0.3725157714782019,1.8619006149354548e-16,7.638694134950947e-16
growing_ratio,0.21,1.668963777393056,1.494849248634938,0.3689680022260286,2.0770370905276122e-16,8.175203011732054e-16
growing_ratio,0.22,1.6783021637238358,1.4742692172911016,0.36542023297385523,1.7554167342883506e-16,8.255642283892575e-16
growing_ratio,0.23,1.6877709090698718,1.4539725173203095,0.36187246372168186,7.32242375526988e-16,9.453157143956918e-16
growing_ratio,0.24,1.6973718331752026,1.4339552480158282,0.35832469446950854,3.554447978966673e-16,4.10620283014498e-16
growing_ratio,0.25,1.7071067811865475,1.4142135623730943,0.3547769252173352,4.344434768182728e-16,6.026209792219658e-16
growing_ratio,0.26,1.7169776240079138,1.3947436663504034,0.3512291559651619,1.09625739919858e-15,9.116644749786906e-16
growing_ratio,0.27,1.7269862586601552,1.3755418181397423,0.3476813867129885,9.730298868281309e-16,1.2149624905870846e-15
growing_ratio,0.28,1.7371346086455506,1.3566043274476716,0.34413361746081517,2.2887833992611187e-16,9.15566670062489e-16
growing_ratio,0.29,1.7474246243174691,1.337927554786112,0.3405858482086418,2.5438405243138006e-16,8.013770075660369e-16
growing_ratio,0.3,1.757858283255199,1.3195079107728946,0.33703807895646837,2.0206364052201326e-16,9.463961977192026e-16
growing_ratio,0.31,1.7684375906440062,1.3013418554419325,0.3334903097042951,6.030054506389723e-16,4.2439625511815523e-16
growing_ratio,0.32,1.7791645796604998,1.2834258975629034,0.32994254045212174,6.131407058289218e-16,4.418655351858824e-16
growing_ratio,0.33,1.7900413118633773,1.2657565939702797,0.3263947711999484,1.2412670766236366e-16,7.617349057857374e-16
growing_ratio,0.34,1.8010698775896221,1.2483305489016125,0.32284700194777505,4.47545209131181e-16,5.544176216924657e-16
growing_ratio,0.35000000000000003,1.8122523963562356,1.2311444133449163,0.3192992326956017,2.0014830212433605e-16,7.667629071867024e-16
growing_ratio,0.36,1.8235910172675731,1.214194884395046,0.3157514634434283,6.497413668604471e-16,4.2497655813548084e-16
growing_ratio,0.37,1.8350879194283694,1.197478704618929,0.31220369419125493,1.594436429147036e-16,1.7452362947995946e-16
growing_ratio,0.38,1.8467453123625273,1.18099266142953,0.3086559249390816,1.1102230246251565e-16,1.1569785581491197e-15
growing_ratio,0.39,1.8585654364377537,1.164733586468456,0.30510815568690824,3.815760786470701e-16,1.421869640199936e-15
growing_ratio,0.4,1.8705505632961241,1.1486983549970347,0.30156038643473493,1.6653345369377348e-16,9.853199481453689e-16
