method,noise_variance,sigma,gamma,variance,target_variance,variance_ratio
exact_path,0.00014125375446227524,0.011885022274370176,1.9997881492930143,1.0001412537287575,1.0001412537544623,0.9999999999742989
exact_path,0.0001258925411794166,0.011220184543019629,1.9998111849586364,1.000125892515475,1.0001258925411793,0.9999999999742989
exact_path,0.0001122018454301963,0.010592537251772886,1.999831716113617,1.0001122018197262,1.0001122018454303,0.9999999999742988
exact_path,0.0001,0.01,1.9998500149985001,1.0000999999742963,1.0001,0.9999999999742989
constant_0.5,100.0,10.0,0.5,101.00000000000003,101.0,1.0000000000000002
constant_0.5,89.12509381337455,9.440608762859233,0.5,90.12834717751547,90.12509381337455,1.0000360983162764
constant_0.5,79.43282347242814,8.912509381337454,0.5,80.43935044496035,80.43282347242814,1.000081148121506
constant_0.5,70.79457843841381,8.413951416451951,0.5,71.80443668009576,71.79457843841381,1.000137311784488
constant_0.5,63.09573444801933,7.943282347242815,0.5,64.10901839082577,64.09573444801933,1.0002072515889058
constant_0.5,56.23413251903491,7.498942093324558,0.5,57.25097290850788,57.23413251903491,1.0002942368256804
constant_0.5,50.11872336272722,7.079457843841379,0.5,51.13928692239115,51.11872336272722,1.0004022706028477
constant_0.5,44.6683592150963,6.6834391756861455,0.5,45.69284834727791,45.6683592150963,1.000536238494277
constant_0.5,39.810717055349734,6.309573444801933,0.5,40.83936951605428,40.810717055349734,1.0007020817758652
constant_0.5,35.48133892335755,5.956621435290105,0.5,36.51442737769114,36.48133892335755,1.0009069967087312
constant_0.5,31.622776601683793,5.623413251903491,0.5,32.66060796376397,32.622776601683796,1.0011596610105291
constant_0.5,28.183829312644534,5.3088444423098835,0.5,29.226743767081725,29.183829312644534,1.0014704874393778
constant_0.5,25.118864315095795,5.011872336272722,0.5,26.167233914265207,26.118864315095795,1.0018519028463828
constant_0.5,22.3872113856834,4.731512589614805,0.5,23.441438112110873,23.3872113856834,1.0023186486637166
constant_0.5,19.952623149688787,4.46683592150963,0.5,21.013136328452553,20.952623149688787,1.0028880956017512
constant_0.5,17.78279410038923,4.216965034285822,0.5,18.850047065777357,18.78279410038923,1.003580562350238
constant_0.5,15.848931924611133,3.9810717055349722,0.5,16.92339785227585,16.848931924611133,1.0044196230359235
constant_0.5,14.12537544622754,3.758374042884441,0.5,15.20754228772535,15.12537544622754,1.0054323835986698
constant_0.5,12.589254117941675,3.548133892335755,0.5,13.679618609106374,13.589254117941675,1.0066497020646183
constant_0.5,11.220184543019629,3.3496543915782757,0.5,12.319245302731114,12.220184543019629,1.0081063227288225
constant_0.5,10.0,3.1622776601683795,0.5,11.108249787346733,11.0,1.0098408897587938
constant_0.5,8.912509381337454,2.9853826189179595,0.5,10.030426638090427,9.912509381337454,1.0118958027898546
constant_0.5,7.943282347242813,2.8183829312644533,0.5,9.071322219297421,8.943282347242814,1.0143168768560775
constant_0.5,7.079457843841377,2.6607250597988092,0.5,8.218042934927828,8.079457843841377,1.0171527711097705
constant_0.5,6.30957344480193,2.5118864315095797,0.5,7.459084609375716,7.30957344480193,1.0204541572367822
constant_0.5,5.62341325190349,2.371373705661655,0.5,6.784180777334991,6.62341325190349,1.0242726098036081
constant_0.5,5.011872336272722,2.2387211385683394,0.5,6.184167882922095,6.011872336272722,1.0286592158003465
constant_0.5,4.46683592150963,2.1134890398366464,0.5,5.6508655846900515,5.46683592150963,1.0336629205307488
constant_0.5,3.9810717055349714,1.9952623149688793,0.5,5.1769705335039164,4.981071705534971,1.0393286504491117
