provider,evidence_label,known_best_fid1k_gain,time,rms,centroid,dc_fraction,low_fraction,mid_fraction,high_fraction
depth4_v,depth_probe,nan,0.5600000023841858,0.4058300852775574,0.35421621799468994,0.008779190480709076,0.1023402065038681,0.1635345071554184,0.7341252565383911
depth6_v,depth_probe,nan,0.5600000023841858,0.3906649947166443,0.3701114356517792,0.011588712222874165,0.08792350441217422,0.13764537870883942,0.7744311094284058
depth8_v,useful,12.4539,0.5600000023841858,0.34202420711517334,0.37666478753089905,0.016491178423166275,0.0877925381064415,0.12692533433437347,0.7852821350097656
depth8_x,useful,5.6779,0.5600000023841858,0.3865610957145691,0.3591812551021576,0.022242050617933273,0.11342218518257141,0.13540466129779816,0.7511731386184692
depth8_epsilon,useful,7.191,0.5600000023841858,0.35875028371810913,0.37911519408226013,0.011798545718193054,0.07854896783828735,0.1304323524236679,0.7910187244415283
depth10_v,depth_probe,nan,0.5600000023841858,0.2028939127922058,0.3658350110054016,0.02292252518236637,0.09635806083679199,0.1371249556541443,0.7665169835090637
depth12_v,depth_probe,nan,0.5600000023841858,0.014630098827183247,0.3030277490615845,0.10934749990701675,0.26718294620513916,0.12216724455356598,0.610649824142456
depth12_x,failed,0.0458,0.5600000023841858,0.12226150929927826,0.3227211833000183,0.06138847768306732,0.17223750054836273,0.16411474347114563,0.6636477708816528
external_v500,useful,6.6,0.5600000023841858,0.0739869624376297,0.34412962198257446,0.002828429453074932,0.10568515211343765,0.1837770640850067,0.7105377912521362
final_linear_x,failed,-0.3325,0.5600000023841858,0.3270082175731659,0.35913753509521484,0.0445660725235939,0.10392371565103531,0.14473581314086914,0.7513404488563538
raw_final_h4,depth_probe,nan,0.5600000023841858,4.058635711669922,0.3786986470222473,0.042690519243478775,0.11529840528964996,0.08123858273029327,0.8034629821777344
raw_final_h6,depth_probe,nan,0.5600000023841858,3.4021992683410645,0.3733268976211548,0.04881713539361954,0.12928025424480438,0.07863619923591614,0.7920835614204407
raw_final_h8,failed,-0.039,0.5600000023841858,1.5450291633605957,0.38135096430778503,0.04318225383758545,0.11707096546888351,0.07809467613697052,0.8048343658447266
raw_final_h10,depth_probe,nan,0.5600000023841858,0.4365880489349365,0.3613620400428772,0.05015460401773453,0.1284227818250656,0.1085750162601471,0.7630022168159485
depth4_v,depth_probe,nan,0.5799999833106995,0.41833001375198364,0.3590402603149414,0.007827519439160824,0.09419487416744232,0.15950502455234528,0.7463001012802124
depth6_v,depth_probe,nan,0.5799999833106995,0.4031928777694702,0.37428247928619385,0.01058968622237444,0.0813416987657547,0.1339210569858551,0.784737229347229
depth8_v,useful,12.4539,0.5799999833106995,0.35242676734924316,0.38029295206069946,0.015138169750571251,0.08170342445373535,0.1243041455745697,0.7939924001693726
depth8_x,useful,5.6779,0.5799999833106995,0.40395480394363403,0.36200064420700073,0.021139733493328094,0.10842583328485489,0.13399825990200043,0.7575758695602417
depth8_epsilon,useful,7.191,0.5799999833106995,0.36279043555259705,0.38216209411621094,0.010976194404065609,0.07409657537937164,0.12759017944335938,0.7983132600784302
depth10_v,depth_probe,nan,0.5799999833106995,0.2094733715057373,0.3687255382537842,0.021107830107212067,0.09106209874153137,0.13527613878250122,0.773661732673645
depth12_v,depth_probe,nan,0.5799999833106995,0.01453058049082756,0.3018053472042084,0.11001075804233551,0.2703261077404022,0.12259313464164734,0.6070807576179504
