name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline
screen_map_external_v500_equal_action_late_high,screen,causal_map,band_time,external_v500,equal_action,late,high,,3.0,,,,[],1000,dopri5,84.11858384028722,222.7373081755311,29.48505973815918,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7984,95.69670674402732,0.8501205535487202
screen_map_external_v500_native_mid_low,screen,causal_map,band_time,external_v500,native,mid,low,,3.0,,,,[],1000,dopri5,84.2561043507472,222.20949709525485,29.960439682006836,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7306,90.82626964402152,0.7126000430887416
screen_map_external_v500_equal_action_mid_low,screen,causal_map,band_time,external_v500,equal_action,mid,low,,3.0,,,,[],1000,dopri5,84.30853729952617,222.2359240789242,30.015411376953125,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7390,89.44063611800084,0.6601670943097702
screen_map_external_v500_native_late_mid,screen,causal_map,band_time,external_v500,native,late,mid,,3.0,,,,[],1000,dopri5,84.5174413849528,222.9433763176113,29.440967559814453,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7810,93.77984107402153,0.45126300888313153
screen_map_external_v500_equal_action_late_mid,screen,causal_map,band_time,external_v500,equal_action,late,mid,,3.0,,,,[],1000,dopri5,84.51761111367642,222.94290383769783,29.441913604736328,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7810,93.68929191405186,0.4510932801595118
screen_map_depth8_v_equal_action_late_low,screen,causal_map,band_time,depth8_v,equal_action,late,low,,0.4,,,,[],1000,dopri5,84.58153814419404,222.2995662320934,29.43402099609375,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6982,55.59850761096459,0.3871662496418935
screen_map_external_v500_native_late_low,screen,causal_map,band_time,external_v500,native,late,low,,3.0,,,,[],1000,dopri5,84.71864459503917,222.43625494646994,29.695606231689453,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7660,92.46980840101605,0.25005979879676943
screen_map_depth8_v_native_late_low,screen,causal_map,band_time,depth8_v,native,late,low,,0.4,,,,[],1000,dopri5,84.75054651569923,222.3092609547116,29.533994674682617,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6910,54.95885921100853,0.21815787813670795
screen_full_depth12_x,screen,successful_failed_control,full_gap,depth12_x,,,,,0.08,,,,[],1000,dopri5,84.78562010664882,222.628192937275,28.841480255126953,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7132,55.057663387968205,0.18308428718711411
screen_map_depth12_x_equal_action_early_low,screen,causal_map,band_time,depth12_x,equal_action,early,low,,0.08,,,,[],1000,dopri5,84.79613919425145,221.91786811068437,29.424659729003906,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6634,53.82801102299709,0.1725651995844828
screen_map_external_v500_equal_action_late_low,screen,causal_map,band_time,external_v500,equal_action,late,low,,3.0,,,,[],1000,dopri5,84.7961832918358,222.71144496298018,29.574735641479492,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8194,96.84237511304673,0.1725211020001325
screen_order_depth12_x_equal_action_coarse_to_fine,screen,causal_order,ordered_bands,depth12_x,equal_action,,,coarse_to_fine,0.08,,,,[],1000,dopri5,84.83319255564896,222.02516317118466,29.419273376464844,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6604,59.239767573948484,0.13551183818697154
screen_map_depth12_x_native_mid_high,screen,causal_map,band_time,depth12_x,native,mid,high,,0.08,,,,[],1000,dopri5,84.84956047216161,222.28388193389878,29.567678451538086,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6616,52.874680058972444,0.11914392167432197
screen_map_depth12_x_equal_action_early_mid,screen,causal_map,band_time,depth12_x,equal_action,early,mid,,0.08,,,,[],1000,dopri5,84.86435843371123,222.29939724917244,29.698884963989258,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6712,55.0616857620189,0.10434596012470365
screen_map_depth12_x_equal_action_mid_high,screen,causal_map,band_time,depth12_x,equal_action,mid,high,,0.08,,,,[],1000,dopri5,84.8683314079758,222.27230708807542,29.50458335876465,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6640,53.13634778599953,0.10037298586013321
screen_order_depth12_x_native_fine_to_coarse,screen,causal_order,ordered_bands,depth12_x,native,,,fine_to_coarse,0.08,,,,[],1000,dopri5,84.8731629522182,222.19520827984525,29.498144149780273,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6670,58.79672753997147,0.09554144161774047
