direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean,critic_seed
internal_depth12,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,-0.00022230299765509624,1.5935264954690585e-05,5.397862197582478e-07,5.778525073220935e-07,7.4697530546294155,0.934124561057537,6.888711939639721e-07,5.017199321943454e-07,0.3242074927953891,0.896584377631485,-0.0336584014903958,-0.0001399891488939184,seed3
internal_depth12,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,-1.2879963627784882e-06,1.1647093261867749e-05,-1.1682465559210403e-05,2.7307473399477896e-07,887.0821186302592,-42.781202743692006,2.9415635588099796e-09,-2.3638005852415428e-05,0.5307845084409136,0.8466992952567948,-0.22979997057197643,-0.004488042026334828,seed3
internal_depth12,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,-0.00020643870526708736,2.9186991354822978e-05,1.1574949059318285e-06,8.885342401284369e-07,11.942488802996523,1.3027015208378616,9.752876953913323e-07,1.4264555717354022e-06,0.3702213279678068,0.910097279133871,-0.07757253792151898,-0.0013907626509843127,seed3
internal_depth12,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,-0.00023679666184046468,1.4795139042399249e-05,-2.455425272018961e-08,2.940127624604156e-07,3.9073235383627334,-0.08351424106460506,3.821153821391891e-07,-3.431212679008385e-07,0.2821691176470588,0.8840584203028843,0.006461682712303146,0.0010027212013614594,seed3
internal_depth12,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,-9.982234634185193e-05,1.1932772323514233e-05,-1.696264296723154e-07,1.5463381303921703e-07,2.3363616744728852,-1.0969556162292657,3.65968548559653e-08,-4.938866723838546e-07,0.4218289085545723,0.9057107860222291,-0.2708263522748457,-0.005016402850270044,seed3
internal_depth12,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,9.922297046642683e-05,1.9636414091517287e-05,-2.3426254320233708e-05,3.9389160120822566e-07,-20.863490014087034,-59.47386095153048,-4.206555726872091e-07,-4.7246400241675226e-05,0.641925777331996,0.7819289579130695,-0.18795059224517796,-0.0039490821888803485,seed3
x800_parallel_to_strong,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,0.00034915602947689466,6.191933572283796e-05,-2.875094571342899e-06,1.5822156871304136e-05,-4.026432659446031,-0.18171318833005098,-1.1036342037605606e-06,-2.1572346013989897e-05,0.465087890625,7.070701010837201,-0.24723641906241767,-0.002693327305839469,seed3
x800_parallel_to_strong,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,-0.00010269708984229763,1.0281725040575857e-05,-4.1102648513129387e-07,2.3053725533669601e-07,16.169382193179775,-1.7829069949279832,3.305203038566706e-07,-1.052590225599382e-06,0.3861671469740634,0.5248602597955655,-0.06920774547228528,-0.0020803195924294898,seed3
x800_parallel_to_strong,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,0.0008162653613649574,0.00012464339078027106,-5.42235860088244e-06,3.194020654381864e-05,-1.3997391000042254,-0.16976592162744875,-2.5315510629564973e-06,-4.278492374558342e-05,0.5466732869910625,10.069401854367575,-0.4312759912643321,-0.003327032399841245,seed3
x800_parallel_to_strong,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,-2.8768767429673293e-05,1.5381195810102904e-05,-9.756520933008055e-07,2.3575275823630899e-07,85.69682146390406,-4.138454627635158,1.4102493191380447e-07,-2.187056944837583e-06,0.448692152917505,0.3792458011392263,-0.09045609088151499,-0.0036726300658744353,seed3
x800_parallel_to_strong,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,-0.0001702382226347136,1.3455138726285131e-05,1.0481713115592523e-07,2.2577235654789517e-07,5.434979032883184,0.4642602520459116,2.8604177234208157e-07,-1.613809423611388e-08,0.3290441176470588,0.6290905778407931,-0.049795194611279466,-0.0006255800606240885,seed3
x800_parallel_to_strong,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,-0.0001873766739045596,1.579978177032829e-05,-8.618779950996601e-08,2.8873725157737335e-07,1.2446645539660541,-0.29849906459634684,5.229037167353971e-08,-4.6111285059732376e-07,0.33235004916420846,1.2523911096091889,-0.3551143885151947,-0.004506529308370656,seed3
x800_parallel_to_strong,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,0.0018400406370611448,0.00024715420547416917,-1.0865573951931357e-05,6.422661002446996e-05,-1.1250498558557422,-0.16917557921540055,-1.100402362350014e-05,-8.595775792833273e-05,0.765295887662989,14.25551538201924,-0.5089654095149566,-0.0021238745703784454,seed3
x800_orthogonal_to_strong,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,0.00029019211254976973,5.115535911698398e-05,-4.958389418945236e-05,1.080029725054329e-05,-4.844560480902655,-4.5909749555233885,-9.001465056776976e-07,-0.00010996808562944776,0.560546875,8.144761961365136,-30.209429508749963,-0.06117790727482766,seed3
x800_orthogonal_to_strong,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,0.00044226763330714906,5.7379641213603584e-05,-7.481200920452421e-06,7.047133392364812e-06,-3.7546236051015787,-1.061594907307686,-1.6644143659184137e-06,-2.2009535233269732e-05,0.5811719500480308,5.478597900758467,-14.942516801250772,-0.048791649906513516,seed3
x800_orthogonal_to_strong,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,0.0001329819664639387,8.53457869180495e-05,-9.310812824409872e-05,1.4680181636207433e-05,-8.591830702033135,-6.34243707274407,-3.2156356691017544e-07,-0.00020089643812440448,0.5392254220456802,10.192429892273378,-45.99180898095121,-0.07398236995647119,seed3
