sample,index,noise_time,h,H,native_rms,latent_rms,identity_residual_rms,contrast_rms,contrast_over_native,contrast_cos_native,clock_rms,clock_over_native,clock_cos_native,state_rms,state_over_native,state_cos_native,total_rms,total_over_native,total_cos_native,contrast_cos_clock,contrast_cos_state,clock_cos_state,contrast_over_latent,clock_over_latent,state_over_latent,total_over_latent
6,0,1.0,0.025,0.125,0.0247742868959903,0.9713345766067504,4.2232878305625827e-10,0.0036521439906209,0.1474167108535766,0.1644027829170227,0.0074431817047297,0.3004398047924042,-0.159763902425766,0.0006787050515413,0.0273955427110195,0.7793349027633667,0.0067368941381573,0.2719309031963348,-0.0088750971481204,-0.37335404753685,0.0791078209877014,-0.3867980241775512,0.003759923798223327,0.007662840265330232,0.0006987345739428744,0.006935709178285295
7,0,1.0,0.025,0.125,0.0253511220216751,1.0064201354980469,3.44292871989893e-10,0.0025879724416881,0.1020851209759712,0.1236926019191742,0.0063556041568517,0.2507030665874481,-0.2329508364200592,0.0006447565392591,0.0254330579191446,0.8812541365623474,0.0057019628584384,0.2249195426702499,-0.1038652434945106,-0.3760240375995636,0.1354931890964508,-0.3754469454288482,0.0025714632988810293,0.006315060612043999,0.0006406435210480258,0.0056655890093223055
4,5,0.875,0.025,0.025,0.0259571205824613,0.8965273499488831,2.3062039777865806e-10,0.0040416060946881,0.1557031720876693,-0.1066036894917488,0.0010960632935166,0.0422259196639061,0.2531570494174957,0.0015639306511729,0.0602505430579185,-0.0368280261754989,0.0040401266887784,0.1556461751461029,-0.0522187612950801,0.3489044308662414,-0.3001217842102051,-0.8623328804969788,0.004508067818475966,0.0012225653724664326,0.0017444316130032953,0.004506417667022378
5,5,0.875,0.025,0.025,0.0254550240933895,0.8780425190925598,2.15131856773354e-10,0.0037827617488801,0.1486057043075561,0.0597840398550033,0.001045370590873,0.0410673581063747,0.1801681965589523,0.0013814901467412,0.0542718060314655,0.0667490288615226,0.0038129005115479,0.1497897058725357,0.1328921169042587,0.3650444149971008,-0.3002946674823761,-0.8727698922157288,0.004308176046861047,0.0011905694407070065,0.0015733749980228107,0.004342500993560608
6,5,0.875,0.025,0.025,0.0238296668976545,0.8542342185974121,2.364507478702649e-10,0.0041009616106748,0.1720947921276092,0.0356870479881763,0.0007954915636219,0.0333824045956134,-0.0389642119407653,0.0011219209991395,0.0470808520913124,0.3129492998123169,0.0043865498155355,0.1840793639421463,0.1063386797904968,-0.0130954543128609,0.2077004015445709,-0.7245984673500061,0.004800746120201399,0.0009312335496557805,0.0013133646191106807,0.0051350668470503125
7,5,0.875,0.025,0.025,0.0246766321361064,0.8840368390083313,2.0737360439948557e-10,0.0037489526439458,0.151923194527626,0.1416182667016983,0.0006821631686761,0.027644095942378,-0.2387906312942505,0.0009272850002162,0.0375774540007114,0.4964117705821991,0.0038709663785994,0.1568676978349685,0.2139882296323776,0.1436197757720947,-0.0563057996332645,-0.5838010907173157,0.004240719932159376,0.0007716456357648136,0.0010489212205866696,0.004378738767200763
4,5,0.875,0.025,0.125,0.0259571205824613,0.8965273499488831,3.6738309616701765e-10,0.0040416060946881,0.1557031720876693,-0.1066036894917488,0.0050094085745513,0.1929878443479538,0.3981602191925049,0.0011141694849357,0.0429234616458416,-0.0928591042757034,0.0065629603341221,0.252838522195816,0.2224966287612915,0.2974880337715149,-0.2925806641578674,-0.8070299029350281,0.004508067818475966,0.005587569163212834,0.0012427612888767155,0.00732042400546542
5,5,0.875,0.025,0.125,0.0254550240933895,0.8780425190925598,3.5549382881860936e-10,0.0037827617488801,0.1486057043075561,0.0597840398550033,0.0047970688901841,0.188452735543251,0.3143574893474579,0.0010470965644344,0.041135162115097,0.0297505818307399,0.0064496044069528,0.2533725500106811,0.2737059295177459,0.3815488815307617,-0.3193798959255218,-0.8100140690803528,0.004308176046861047,0.005463367417721159,0.001192535146836117,0.0073454351773514824
6,5,0.875,0.025,0.125,0.0238296668976545,0.8542342185974121,3.013389815453848e-10,0.0041009616106748,0.1720947921276092,0.0356870479881763,0.0037284702993929,0.1564633846282959,0.0999535247683525,0.0008997140685096,0.03775604814291,0.3177419006824493,0.0054661594331264,0.2293846309185028,0.1472517997026443,0.0448220372200012,0.1901837587356567,-0.6594144105911255,0.004800746120201399,0.004364693216709073,0.0010532404918019585,0.006398900107398437
7,5,0.875,0.025,0.125,0.0246766321361064,0.8840368390083313,3.0905975001438435e-10,0.0037489526439458,0.151923194527626,0.1416182667016983,0.0037519738543778,0.1520456224679947,0.0946848019957542,0.0008267920929938,0.0335050635039806,0.2721582949161529,0.0055734612978994,0.2258598804473877,0.1993722319602966,0.2469059526920318,-0.1445067226886749,-0.6128406524658203,0.004240719932159376,0.0042441374486006465,0.0009352461984743241,0.006304557742357697
