weak,s,target_t,dt,n,disc_auc,gap_rms_mean,gap_rms_std,grad_rms_mean,grad_rms_std,cos_grad_gap_mean,cos_grad_gap_std,inner_mean_mean,inner_mean_std,signed_coeff_mean,signed_coeff_std,positive_coeff_mean,positive_coeff_std,finite_delta_plus_mean,finite_delta_plus_std,finite_delta_minus_mean,finite_delta_minus_std,positive_alignment_fraction
v240,0.9375,0.987500011920929,0.05000000074505806,128,0.5546875,0.11967194604221731,0.028826940973540514,8.188198225411725e-05,5.038438940101696e-05,-0.0021058860970697424,0.014099996695591978,-1.589224743470119e-08,1.6890946836473522e-07,-4.4070314737798544e-08,6.233717496433303e-07,1.841513565803421e-07,4.289973305578638e-07,-3.5444027162157e-06,3.476338449862472e-05,3.044478944502771e-06,3.438145437907642e-05,0.484375
v270,0.0625,0.11249999701976776,0.05000000074505806,128,0.47723388671875,0.030461849528364837,0.01598746464600531,0.0003084516091576006,9.393626383247494e-05,0.008779336421866901,0.10569439549689537,1.1983764680589815e-07,1.1723153443291318e-06,3.1480772375580557e-06,5.535530594064998e-05,2.3524329661572807e-05,3.397768242342558e-05,2.6259767764713615e-05,0.0002453257049608709,-2.2458079001808073e-05,0.0002334218070042542,0.5
v270,0.1875,0.23749999701976776,0.05000000074505806,128,0.51751708984375,0.05436904991802294,0.025917803054775573,0.0002590970125311287,8.770872935688956e-05,0.003106749295739064,0.09213007560763893,1.350930106114312e-07,1.4524856671319358e-06,-1.364337071346755e-06,3.0220090640249255e-05,9.616816623481128e-06,1.619061482803263e-05,2.8911460503877606e-05,0.0002977814225433842,-2.6514806449995376e-05,0.0002971170113243046,0.5234375
v270,0.3125,0.36250001192092896,0.05000000074505806,128,0.4969482421875,0.0768155571713578,0.024795538245707495,0.0001940303636729368,8.693914172059178e-05,-0.009459599678393715,0.06381042046563622,-9.039532841703668e-08,9.173186764282997e-07,-9.273017787247984e-07,9.877151000323868e-06,2.8889613299110106e-06,6.761140017046008e-06,-1.7014187505992595e-05,0.00018772003516002024,2.0065577245986788e-05,0.00018762983930584626,0.4296875
v270,0.4375,0.48750001192092896,0.05000000074505806,128,0.45416259765625,0.10301375327981077,0.021718303694428735,0.0001427342602084991,7.841113349756132e-05,-0.0026412237916701997,0.04497174032414538,-2.0650918308717792e-08,7.405313628676136e-07,-1.9795350537227252e-07,4.031691954910698e-06,1.2571248245649147e-06,1.8422080826679657e-06,-5.067689926363528e-06,0.00015222987895472938,3.5270486478111707e-06,0.00015140374601459828,0.5234375
v270,0.5625,0.612500011920929,0.05000000074505806,128,0.50689697265625,0.12322370748734102,0.022899726324704103,0.0001212976208080363,6.324915384521659e-05,-0.0018938266255190683,0.03361095893005186,-1.785039746571293e-08,5.44135888955273e-07,-4.461296068680731e-08,1.971146092979649e-06,6.543170222306216e-07,1.032197587848247e-06,-4.251902282703668e-06,0.00011136524756441237,3.114262653980404e-06,0.00011144474486268536,0.484375
v270,0.6875,0.737500011920929,0.05000000074505806,128,0.5447998046875,0.1402106581372209,0.021987745027176153,9.627986733562466e-05,5.883480990703881e-05,0.0010930001898827868,0.02138719598929888,1.492711816653003e-08,3.983467351131736e-07,2.792258485539989e-08,1.028964968279789e-06,3.284090151767227e-07,5.859224429462695e-07,2.7259447961114347e-06,7.986062801394735e-05,-3.3979376894421875e-06,8.33832810245913e-05,0.5
v270,0.8125,0.862500011920929,0.05000000074505806,128,0.458740234375,0.14825882558943704,0.017285065790660435,8.1680145996188e-05,5.661002232053337e-05,0.0015180306464799287,0.01628297032987063,9.41986147418028e-09,2.4495266440134317e-07,1.5213714068054718e-08,5.553105915674592e-07,1.8555839534882546e-07,3.494938233584982e-07,1.5345794963650405e-06,4.9910099562872054e-05,-2.301960194017738e-06,5.040292854941609e-05,0.5625
v270,0.9375,0.987500011920929,0.05000000074505806,128,0.54241943359375,0.11184917553327978,0.028035959315720824,7.876545900842302e-05,3.7349667269804546e-05,-0.0016975791903632853,0.01375258674087661,-1.0956719476151733e-08,1.395397973294755e-07,-6.562047959179917e-08,5.570828474361979e-07,1.6844167455981607e-07,2.766095019000373e-07,-2.300010237377137e-06,2.8422320040703194e-05,2.10155121749267e-06,2.8668810038021872e-05,0.4609375
v300,0.0625,0.11249999701976776,0.05000000074505806,128,0.50787353515625,0.028824598099163268,0.012143742588845059,0.0003117755640005271,9.511583193170591e-05,0.011118234152320383,0.09225797203231863,1.200134515655371e-07,9.809207899377573e-07,7.5348940413166865e-06,6.358283356925152e-05,2.606930335935509e-05,4.3489348730618726e-05,2.5078414182644337e-05,0.00020043078960246363,-2.425480397505453e-05,0.00020122907990842377,0.5234375
