direction,state,alpha,m,h,predicted_coefficient,estimated_coefficient,raw_error,corrected_error
1,1,1.5,2,0.01,0.1875,0.1794681730220659,3.820920728407815e-06,2.6940260660665537e-07
1,1,1.5,2,0.005,0.1875,0.18350215362218184,9.755927143880328e-07,3.353432925008875e-08
1,1,2.0,1,0.08,-1.0,-0.9338727390736807,0.0012707604328530213,9.25063089024855e-05
1,1,2.0,1,0.04,-1.0,-0.9650149592145429,0.000328247521395399,1.218149847868963e-05
1,1,2.0,1,0.02,-1.0,-0.9820290854520667,8.350669588251739e-05,1.5614822145408668e-06
1,1,2.0,1,0.01,-1.0,-0.9908951633201047,2.1065037472664443e-05,1.9761428346151284e-07
1,1,2.0,1,0.005,-1.0,-0.9954177627426,5.290288258970633e-06,2.4853725699539468e-08
1,1,2.0,2,0.08,0.0,-0.06416684693243196,0.00015995412423369475,0.00015995412423369475
1,1,2.0,2,0.04,0.0,-0.029976681843808126,1.9101746293235413e-05,1.9101746293235413e-05
1,1,2.0,2,0.02,0.0,-0.014481734351743988,2.334140079442012e-06,2.334140079442012e-06
1,1,2.0,2,0.01,0.0,-0.007116642934764516,2.884854469506522e-07,2.884854469506522e-07
1,1,2.0,2,0.005,0.0,-0.003527563860084239,3.5857596598817777e-08,3.5857596598817777e-08
1,2,0.25,1,0.08,0.09375,0.09558464562059002,0.00034654947784022505,5.630854369315255e-05
1,2,0.25,1,0.04,0.09375,0.09469630321514329,8.499619242518333e-05,7.0542168498505166e-06
1,2,0.25,1,0.02,0.09375,0.09423000610108369,2.1090720721968386e-05,8.825895801509826e-07
1,2,0.25,1,0.01,0.09375,0.0939916690559949,5.2559465981648265e-06,1.1036940677792189e-07
1,2,0.25,1,0.005,0.09375,0.09387124516134669,1.31208958296765e-06,1.3798875817292006e-08
1,2,0.25,2,0.08,0.109375,0.1117809873405355,0.00040503555211911956,6.450534065050621e-05
1,2,0.25,2,0.04,0.109375,0.11060702578962815,9.926331378808266e-05,8.086097787722491e-06
1,2,0.25,2,0.02,0.109375,0.1099976912821371,2.4619038891284716e-05,1.0120217510361793e-06
1,2,0.25,2,0.01,0.109375,0.10968794532604469,6.133620092197433e-06,1.265761703519974e-07
1,2,0.25,2,0.005,0.109375,0.10953186400511064,1.5309834372791545e-06,1.5826449751016445e-08
1,2,0.5,1,0.08,0.125,0.12759824719878457,0.0004670545014017943,9.89191422078369e-05
1,2,0.5,1,0.04,0.125,0.12633761482151964,0.0001136840555641389,1.241201413682178e-05
1,2,0.5,1,0.02,0.125,0.12567778029323648,2.8147662082874355e-05,1.5540324938115083e-06
1,2,0.5,1,0.01,0.125,0.12534105417354963,7.010129400657428e-06,1.9439953920191719e-07
1,2,0.5,1,0.005,0.125,0.12517105832621442,1.7496560823810722e-06,2.4308642174798184e-08
1,2,0.5,2,0.08,0.1875,0.19232416268580646,0.0007003771459320108,0.0001314539134597239
1,2,0.5,2,0.04,0.1875,0.18996096013843733,0.00017070898624183103,1.6512289369113825e-05
1,2,0.5,2,0.02,0.1875,0.1887411223648986,4.2257650074703336e-05,2.0685754108148723e-06
1,2,0.5,2,0.01,0.1875,0.18812303291675855,1.0520546949900192e-05,2.5884065755889236e-07
1,2,0.5,2,0.005,0.1875,0.1878121113245937,2.625205278458667e-06,3.2371417739513526e-08
1,2,1.0,1,0.08,0.0,-5.579186581718587e-05,0.00013022828481000967,0.00013022828481000967
1,2,1.0,1,0.04,0.0,-0.00013031979319991788,1.6420002443023708e-05,1.6420002443023708e-05
1,2,1.0,1,0.02,0.0,-8.961513186817587e-05,2.060329730180296e-06,2.060329730180296e-06
1,2,1.0,1,0.01,0.0,-5.077824530048754e-05,2.579994737429156e-07,2.579994737429156e-07
1,2,1.0,1,0.005,0.0,-2.6863982040347364e-05,3.22776134953369e-08,3.22776134953369e-08
1,2,1.0,2,0.08,0.25,0.2583506313767007,0.0009592292787456475,0.00025789680823161583
1,2,1.0,2,0.04,0.25,0.25420139675125214,0.00022967131355298382,3.2531540152984025e-05
1,2,1.0,2,0.02,0.25,0.2521032556797928,5.65231918802559e-05,4.083105699966275e-06
1,2,1.0,2,0.01,0.25,0.2510518015069194,1.4044776849274287e-05,5.113772506649535e-07
1,2,1.0,2,0.005,0.25,0.2505258878863265,3.502123017445027e-06,6.398236366200845e-08
1,2,1.5,1,0.08,-0.375,-0.3846876961646702,0.0013781596933607155,7.716246855358836e-05
1,2,1.5,1,0.04,-0.375,-0.38052816779862014,0.00034050282281787147,1.0136268869698841e-05
1,2,1.5,1,0.02,-0.375,-0.3779237106598195,8.452193739190863e-05,1.2960576953554287e-06
1,2,1.5,1,0.01,-0.375,-0.3765003462889593,2.104952596499311e-05,1.637652413904093e-07
1,2,1.5,1,0.005,-0.375,-0.37575962042728467,5.251940630150509e-06,2.0578736757639443e-08
1,2,1.5,2,0.08,0.1875,0.19554367945200604,0.0007819845196250404,0.00035042129980440007
1,2,1.5,2,0.04,0.1875,0.1913385705211023,0.00017679115049321244,4.441672101904696e-05
1,2,1.5,2,0.02,0.1875,0.18937020706456806,4.271344464662812e-05,5.586656918658223e-06
1,2,1.5,2,0.01,0.1875,0.1884224803973026,1.055729234197709e-05,7.0037752794066e-07
1,2,1.5,2,0.005,0.1875,0.187958043600254,2.6285036837837243e-06,8.767150158906236e-08
1,2,2.0,1,0.08,-1.0,-1.0276684428803422,0.003678739930924701,0.00014895576303990943
1,2,2.0,1,0.04,-1.0,-1.0159032068721279,0.0009088429090888735,1.9741930508893095e-05
1,2,2.0,1,0.02,-1.0,-1.0084282042138928,0.0002255197204951141,2.5366112478253517e-06
1,2,2.0,1,0.01,-1.0,-1.0043282212033315,5.614951227734309e-05,3.213038488248288e-07
