start,base,amount,w,k,horizon,variant,index,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,direction_cos_cfg,finite_error_flow_target,finite_error_own_euler_target,flow_vs_euler_target_relative_difference
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,6,0.025939879938960075,1.6855659484863281,0.7491404414176941,1.0,0.3729266822338104,0.20997276902198792,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_equal,7,0.015952397137880325,2.1510539054870605,0.9560239315032959,1.0000001192092896,0.3998349905014038,0.35521525144577026,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,0,0.006250924896448851,1.25,0.5555555820465088,0.8353140354156494,0.5470867156982422,0.41642943024635315,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,1,0.008590226992964745,1.25,0.5555555820465088,0.9097796678543091,0.5039169192314148,0.3462989330291748,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,2,0.005355093162506819,1.25,0.555555522441864,0.6549543142318726,0.7181031703948975,0.49284741282463074,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,3,0.006643730215728283,1.2500001192092896,0.5555555820465088,0.8067027926445007,0.6378726959228516,0.44838470220565796,0.43710845708847046
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,4,0.005011114291846752,1.25,0.555555522441864,0.7738924026489258,0.7375367283821106,0.47634828090667725,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,5,0.008654551580548286,1.2499998807907104,0.555555522441864,0.8383039236068726,0.5477831363677979,0.38995784521102905,0.36187058687210083
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,6,0.019236773252487183,1.25,0.5555555820465088,0.9525978565216064,0.4457947015762329,0.355768620967865,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,euler_capped,7,0.009270105510950089,1.25,0.5555555820465088,0.8516414165496826,0.4983200132846832,0.43093302845954895,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,0,0.006250924896448851,1.25,0.5555555820465088,1.0000001192092896,0.399431049823761,0.372692734003067,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,1,0.008590226992964745,1.25,0.5555555820465088,1.0,0.45066702365875244,0.3346136808395386,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,2,0.005355093162506819,1.25,0.555555522441864,1.0,0.33011531829833984,0.3845575749874115,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,cfg_capped,3,0.006643730215728283,1.2500001192092896,0.5555555820465088,1.0000001192092896,0.5164927244186401,0.4401574730873108,0.43710845708847046
