arm,state_index,mean_spatial_channel_mean,rms_spatial_channel_mean,mean_spatial_channel_second_moment,first1024_squared_feature_difference_from_official,second1024_squared_feature_difference_from_official
candidate,96,-0.0020831155271837393,0.5340622589529891,0.6362098613217335,0.0009496638758858996,0.001201388561919873
candidate,97,-0.002273146764378537,0.5686728675224969,0.6948595543755971,0.001287239380112276,0.0018615821617267033
candidate,98,-0.002536663477505903,0.6065434361638846,0.7728757684657828,0.0018611466208540812,0.003099523863424511
candidate,99,-0.002855742204561851,0.6472169606322451,0.8804827055626389,0.003007469262047399,0.005798128337788804
candidate,100,-0.002972091719555609,0.6930852441307197,0.9963395750783332,0.005809211169124596,0.01302575108596327
control,0,0.00019463148837736862,0.06217889938150229,1.0001195058211079,0.0,0.0
control,1,0.00019012634266961573,0.06211390411830363,0.9976085394300223,2.856056124563041e-10,1.0957484848434087e-10
control,2,0.00018555212819381463,0.06205825433336145,0.9950590138554942,1.186726312467183e-09,4.4867562124433914e-10
control,3,0.00018098590416988378,0.06201306328393221,0.9924699599141624,2.6460207799733756e-09,1.0214053558155796e-09
control,4,0.00017647395233896302,0.061979629180591286,0.9898405664969979,4.627877377293264e-09,1.8378607205213614e-09
control,5,0.0001720484463897593,0.061959124426037314,0.9871699461196085,7.20421509861127e-09,2.9064184868139076e-09
control,6,0.0001676527129465205,0.06195257558632495,0.9844573341267236,1.0443320329790775e-08,4.241199378842393e-09
control,7,0.00016328081345077809,0.061960980868936005,0.9817016016985107,1.4283072786703025e-08,5.8493703323224205e-09
control,8,0.00015885175565931366,0.06198505052025711,0.9789017872392217,1.8727554975605413e-08,7.745181280753516e-09
control,9,0.00015429574871196012,0.06202599734808052,0.976056672784934,2.3925953366337273e-08,9.936799665319644e-09
control,10,0.00014963359302317146,0.06208453353848514,0.9731651842458324,3.0002425041035854e-08,1.2450092689414324e-08
control,11,0.00014487119931286353,0.06216212399339572,0.9702262957006326,3.695525815145463e-08,1.5290951974184122e-08
control,12,0.00014005258952219998,0.06225976952255494,0.9672388734783698,4.4566402661951966e-08,1.8464556865528515e-08
control,13,0.00013519583202757922,0.06237873892461799,0.9642016298538132,5.314107347184088e-08,2.2006423801181682e-08
control,14,0.00013030360104771335,0.06252028571107608,0.9611136149139936,6.296832989221977e-08,2.5904513267057974e-08
control,15,0.0001253992891889583,0.06268542942720733,0.957973245128362,7.40705561493684e-08,3.020566421202822e-08
control,16,0.00012040737555720357,0.06287554835127183,0.9547794251707259,8.63673263065337e-08,3.491989524095399e-08
control,17,0.000115301883950571,0.06309207448105277,0.9515306010932044,1.0011082164165058e-07,4.006384203749872e-08
control,18,0.00011008303728040448,0.06333616947857158,0.9482257735162622,1.1527772499401456e-07,4.565810029732908e-08
control,19,0.00010476770992538269,0.06360918570708088,0.9448631549920357,1.3181638912592643e-07,5.16999988171825e-08
control,20,9.930432159238516e-05,0.06391289999940779,0.9414417482854107,1.4994337506439956e-07,5.821287270057565e-08
control,21,9.373480207729226e-05,0.06424864357868365,0.937959584474757,1.7006554015696596e-07,6.528972410249642e-08
control,22,8.808796029511866e-05,0.06461817403601866,0.9344154862782718,1.9230477545217867e-07,7.290921116551943e-08
control,23,8.229637672309011e-05,0.06502257966280195,0.9308076640954693,2.1684899102021836e-07,8.11155481109709e-08
control,24,7.63915125039087e-05,0.06546383558704126,0.9271347736466754,2.4320102712576976e-07,8.988503727063009e-08
control,25,7.031613344887623e-05,0.06594379757025402,0.9233949686114329,2.718546989260999e-07,9.930664528385731e-08
control,26,6.410919255753472e-05,0.06646373932639686,0.9195866176302618,3.0319274084993757e-07,1.093498440794256e-07
control,27,5.7618259385827354e-05,0.06702542894996678,0.9157078779399831,3.369889215803711e-07,1.2012497147267676e-07
control,28,5.099733599258129e-05,0.06763019339984322,0.9117570387654284,3.7455538595760863e-07,1.317228254490397e-07
control,29,4.4160229308310334e-05,0.06828046190085657,0.9077317086190675,4.1576509194158073e-07,1.441175854700031e-07
control,30,3.7081049142400794e-05,0.06897806879122907,0.903630593449483,4.611928122603246e-07,1.5745116039074823e-07
control,31,2.9772908124918348e-05,0.06972424481075258,0.8994514278173131,5.118033080861092e-07,1.7185073629513954e-07
control,32,2.2253628653483266e-05,0.0705211747064393,0.8951921533746139,5.682664411192513e-07,1.873949168390338e-07
control,33,1.4593024012142346e-05,0.07137101656298116,0.8908507668912811,6.318108710742004e-07,2.0416434898419288e-07
control,34,6.789485363513316e-06,0.07227646119654026,0.8864248643020042,7.023365135658437e-07,2.2215640923464538e-07
