mode,rank,batch_index,batch_size,nfe,elapsed_seconds,endpoint_mean,endpoint_std
dynamic,2,4,64,74,2.2975296238437295,0.030527878552675247,0.8306598663330078
dynamic,2,5,64,62,1.9491791520267725,0.036714859306812286,0.8119967579841614
dynamic,2,6,64,62,1.9131258111447096,0.033817194402217865,0.8117684125900269
dynamic,2,7,64,62,1.9600553312338889,0.040663786232471466,0.8240038156509399
dynamic,2,8,64,56,1.7248147241771221,0.030822157859802246,0.8237868547439575
dynamic,2,9,64,56,1.779341563116759,0.059540607035160065,0.830051839351654
dynamic,2,10,64,56,1.7249490120448172,0.04949827864766121,0.8240070343017578
dynamic,2,11,64,62,1.9589196108281612,0.030237989500164986,0.8229124546051025
dynamic,2,12,64,56,1.7545102848671377,0.04232165589928627,0.8271138668060303
dynamic,2,13,64,56,1.7585112447850406,0.08251416683197021,0.8284031748771667
dynamic,2,14,64,56,1.7854557489044964,0.008427705615758896,0.8462256193161011
dynamic,2,15,64,68,2.0736554791219532,0.046984657645225525,0.8154873847961426
dynamic,2,16,64,56,1.7798344078473747,0.024155093356966972,0.8075857758522034
dynamic,2,17,64,56,1.72528466116637,0.02618015743792057,0.8298436403274536
dynamic,2,18,64,62,1.9590227762237191,0.05535949021577835,0.843178391456604
dynamic,2,19,64,56,1.7713746600784361,0.08715324103832245,0.8170894384384155
dynamic,3,0,64,56,1.4018049500882626,0.07770788669586182,0.8195353746414185
dynamic,3,1,64,68,1.6949280579574406,0.06002850830554962,0.805062472820282
dynamic,3,2,64,68,1.6943341423757374,0.055291879922151566,0.8072673678398132
dynamic,3,3,64,56,1.4026154577732086,0.0566442497074604,0.818025529384613
dynamic,3,4,64,62,1.5476733627729118,0.06268741935491562,0.8110108375549316
dynamic,3,5,64,62,1.5479636709205806,0.08683986961841583,0.8403466939926147
dynamic,3,6,64,62,1.5487640788778663,0.03761661797761917,0.8026505708694458
dynamic,3,7,64,56,1.4022406856529415,0.04978054761886597,0.797771155834198
dynamic,3,8,64,68,1.694790470879525,0.09929150342941284,0.818306028842926
