family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,g1p25_r1p30_l0p375_n1000_seed0,factorized,1.25,1.0,0.375,1.3,0,1000,75.50121793311962,215.88894258593575,30.902929306030273,7678,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p30_l0p375_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p50_l0p375_n1000_seed0,factorized,1.5,1.0,0.375,1.5,0,1000,75.50664617011745,216.2737970087394,29.216537475585938,7930,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p50_l0p375_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p50_l0p25_n1000_seed0,factorized,1.5,1.0,0.25,1.5,0,1000,75.52628572741725,216.1447632356476,29.101905822753906,8062,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p50_l0p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p50_l0p125_n1000_seed0,factorized,1.5,1.0,0.125,1.5,0,1000,75.54520628584828,216.12804173436007,29.121171951293945,7942,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p50_l0p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p25_l0p75_n1000_seed0,factorized,1.25,1.0,0.75,1.25,0,1000,75.55634318716835,216.65426886319733,31.234851837158203,7630,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p25_l0p75_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p25_l0p25_n1000_seed0,factorized,1.75,1.0,0.25,1.25,0,1000,75.56010140068565,215.89354880501696,31.121862411499023,7888,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p25_l0p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p45_l0_n1000_seed0,factorized,1.75,1.0,0.0,1.45,0,1000,75.56713822086601,215.64723468795523,28.730371475219727,7984,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p45_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p50_l0p5_n1000_seed0,factorized,1.75,1.0,0.5,1.5,0,1000,75.5686119743475,216.92334617315385,28.534690856933594,7990,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p50_l0p5_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p30_l0p25_n1000_seed0,factorized,1.25,1.0,0.25,1.3,0,1000,75.59252341302624,215.8372913921828,30.618295669555664,7660,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p30_l0p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p25_l0p375_n1000_seed0,factorized,1.5,1.0,0.375,1.25,0,1000,75.60351169492799,216.1593039057226,31.117456436157227,7852,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p25_l0p375_n1000_seed0/nominal_intervention_fid5k.json
