context,time,sample_id,cosine,projection_coefficient,positive_coefficient,reference_rms,difference_rms,difference_over_reference_rms,parallel_energy_fraction,orthogonal_energy_fraction,predicted_residual_energy_fraction,dot,reference_energy,difference_energy
strong_rollout,0.2,2351,0.5762493503279412,0.5725363861459805,1.0,0.13695925288700841,0.13607677935351434,0.9935566709448823,0.332063341053464,0.6679366879179721,0.7037105076816972,43.98917296149094,76.83210015280139,75.84518094530571
strong_rollout,0.2,3628,0.4973983813788278,0.43094205775601646,1.0,0.20638666978033907,0.17881179251528745,0.866392159462624,0.24740515049086784,0.752594849861097,0.7554539749594763,75.18688907334516,174.4709937685247,130.96409965580375
strong_rollout,0.2,4954,0.5891590853577987,0.5880564775407713,1.0,0.15153186705745883,0.15124827604562738,0.9981285057899807,0.3471084586339998,0.6528915710938038,0.6944351983489735,55.30787017346394,94.05196998213377,93.70026396374755
strong_rollout,0.2,4513,0.6330172596875939,0.6677794270811994,1.0,0.14304930496210205,0.15090486309820347,1.0549150388265263,0.40071087410687767,0.5992891477541696,0.671340349736148,55.97118313182825,83.81687255097538,93.27524948659214
strong_rollout,0.2,3775,0.56502153583578,0.4120533444068863,1.0,0.2305782243203626,0.1681538179568095,0.7292701574593559,0.31924933944035594,0.680750662885128,0.6821662198256223,89.73254225238576,217.76923660587605,115.81729379717868
strong_rollout,0.2,1152,0.5820456757807615,0.5755896068843587,1.0,0.17847194792589716,0.17649233148026477,0.9889079686267876,0.33877715745922576,0.661222831088646,0.6985167240090386,75.09531078947036,130.46675946071713,127.58852842020727
strong_rollout,0.2,2150,0.5270650768248974,0.4273103919751995,1.0,0.1591894436150604,0.12906054022635274,0.8107355443645934,0.2777975766028934,0.7222024048745369,0.724975698676998,44.353912196701216,103.79787861390335,68.22552798624979
strong_rollout,0.2,1409,0.5684758137483226,0.48158326730707,1.0,0.18499511483881861,0.15671828015425007,0.8471482087015897,0.323164751606166,0.6768352489979435,0.6899372296257498,67.50747389411586,140.1781965382766,100.60029679413663
strong_rollout,0.2,3452,0.5504054662021161,0.6091771264235275,1.0,0.14075673371299588,0.15578657523099074,1.1067788454699499,0.30294616375858147,0.6970538239479145,0.7382208784395262,49.435837579029226,81.15182831841784,99.40769596293586
strong_rollout,0.2,2228,0.5799848618755031,0.6267725672733541,1.0,0.13564267683147646,0.1465850479520684,1.0806705631015143,0.33638245604247985,0.6636175596151663,0.7138296209435775,47.23485987913672,75.36204094672223,88.01147405561935
strong_rollout,0.2,1449,0.5226874805671892,0.4614960124908224,1.0,0.19776648013865686,0.17461379004007616,0.882929149154356,0.2732022173018837,0.726797799872911,0.7343797675823971,73.93213857698743,160.20103440971266,124.88694035316652
