experiment,metric_file,branch,fid,inception_score,sfid,sample_sha256,sample_path
raev2_pfr_shared_retiming_v1,fid1k_seed20260908/official_metrics.json,shared_h0p03125_r1,50.456512371206315,64.42176399230956,,db2513d864b7f60ceea85dae4d36b01b2a2c3de6a8a5619d1e2f61333b14b8a7,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/shared_h0p03125_r1/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,ig_s1p78,38.48718487627309,58.22313804626465,,bdd24898d19e48a3770cb1dc2791fa6b4aa076a7d05f4a5b088ffb06f948da1d,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/ig_s1p78/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,plain_add_r0p05,38.13958864489024,62.12579078674317,,a2fc91a59145c1b1834e5b90453e50d4913c7cccc7787a72366169cb7d3ab329,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/plain_h0p03125_r0p05/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,shared_add_r0p05,38.04119763801714,61.476309585571286,,a036dc9b0d83bf21176f43b6105028988e43147b9a7b3457e55c1ff74c3e45c3,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/shared_h0p03125_r0p05/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,plain_add_r1,52.617848017855295,61.559912872314456,,dfe643dc806ecf88c03b95030b1a9806e9c5903b03af16a8b2bc5b346002d030,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_potential_preserving_v1/fid1k_seed20260908_additive/plain_add_r1/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,shared_add_r1,50.456512371206315,64.42176399230956,,db2513d864b7f60ceea85dae4d36b01b2a2c3de6a8a5619d1e2f61333b14b8a7,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/shared_h0p03125_r1/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,plain_angular_r1,39.279045527017445,63.13214454650879,,38957d1d2bcf31a03f76db541701431d5dd56dd680b5d332fdbc1254e60cbd67,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_potential_preserving_v1/fid1k_seed20260908_angular/plain_angular_r1/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.csv,shared_angular_r1,39.295295351130164,64.10079040527344,,38a9c4a261ccef823c50b2d9f7d2f9d3e57a14f565779d3870946247cdf02626,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_potential_preserving_v1/fid1k_seed20260908_angular/shared_angular_r1/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.json,ig_s1p78,38.48718487627309,58.22313804626465,,bdd24898d19e48a3770cb1dc2791fa6b4aa076a7d05f4a5b088ffb06f948da1d,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/ig_s1p78/samples.npz
raev2_pfr_potential_preserving_v1,fid1k_seed20260908_official_metrics.json,plain_add_r0p05,38.13958864489024,62.12579078674317,,a2fc91a59145c1b1834e5b90453e50d4913c7cccc7787a72366169cb7d3ab329,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_shared_retiming_v1/fid1k_seed20260908/plain_h0p03125_r0p05/samples.npz
