seed_index,label,t,baseline_conditional_correct,delta_rms,delta_q_null,delta_q_conditional
47,98,0.375,True,-0.0022374317049980164,0.06667730212211609,-8.344650268554688e-07
48,62,0.375,True,-0.012078709900379181,0.27657026052474976,0.0017384886741638184
49,59,0.375,False,-0.004846706986427307,-0.00048715085722506046,0.010346846655011177
50,7,0.375,False,-0.008556783199310303,0.017152883112430573,0.11136604845523834
51,12,0.375,True,-0.03343525528907776,-0.0007743827300146222,-0.17930171638727188
52,81,0.375,False,-0.0009522959589958191,-0.00021164899226278067,-0.006753183901309967
53,3,0.375,True,-0.032896123826503754,0.5540229848120362,0.1312146782875061
54,29,0.375,False,-0.012438639998435974,-1.6959047570708208e-06,0.011292633833363652
55,16,0.375,False,-0.018321111798286438,-8.669201406519278e-06,-0.01574319414794445
56,99,0.375,False,-0.03293870389461517,0.10992857068777084,0.00580066442489624
57,42,0.375,False,-0.002105429768562317,-0.00021445576567202806,0.0047948299907147884
58,96,0.375,True,-0.004831239581108093,0.5712402164936066,0.00244748592376709
59,83,0.375,True,-0.012769460678100586,0.2879146933555603,0.0004551410675048828
60,57,0.375,False,-0.03531023859977722,0.004299207124859095,0.013911165297031403
61,23,0.375,True,-0.0077078863978385925,-0.0002969974448205903,-0.31885454058647156
62,21,0.375,False,-0.01464509591460228,0.02346903458237648,0.11853623390197754
63,49,0.375,False,-0.016065090894699097,-8.520438541381736e-06,3.481904786895029e-05
0,24,0.625,True,-0.002950092777609825,0.2861306667327881,0.04636484384536743
1,63,0.625,False,-0.0007741320878267288,-1.2067263014614582e-05,-0.00047447154065594077
2,87,0.625,False,-0.003105008974671364,0.00866831629537046,0.02235404122620821
3,52,0.625,False,-0.00012801028788089752,0.0012284916010685265,0.003927645040675998
4,84,0.625,False,-0.00015458650887012482,0.002909271977841854,-0.005931561812758446
5,56,0.625,False,-0.0014986302703619003,-0.0003005232138093561,-0.000585046800551936
6,91,0.625,True,-0.0021373480558395386,-0.001292586326599121,-0.0006935000419616699
7,58,0.625,False,-0.0015395469963550568,-0.005727134644985199,-0.02634471282362938
8,14,0.625,False,-0.005480866879224777,0.2722529007587582,0.2807258553802967
9,35,0.625,True,-0.00025365129113197327,0.09149278700351715,0.12805181741714478
10,79,0.625,False,-0.00024018622934818268,-0.00012751881149597466,-0.00028634205227717757
11,92,0.625,False,-2.5015324354171753e-05,1.2331947800703347e-06,7.1428585215471685e-06
12,68,0.625,False,-0.0020936299115419388,-0.0009879173594526947,-0.05816828180104494
13,93,0.625,True,-0.00017904676496982574,0.0005054473876953125,2.384185791015625e-07
14,95,0.625,False,-0.0008221343159675598,-4.12429699281347e-07,-1.2610610156116309e-06
15,34,0.625,False,-0.006978433579206467,0.1454498686362058,0.29378559440374374
16,72,0.625,False,-0.004779446870088577,0.008928887313231826,0.03875832282938063
17,15,0.625,True,-0.0041585154831409454,0.2770093083381653,0.10568928718566895
18,94,0.625,True,-0.0008626151829957962,0.03350788354873657,0.08692768216133118
19,46,0.625,False,-0.0001306198537349701,0.022335875779390335,0.014888063073158264
20,43,0.625,True,-0.002517133951187134,0.3016914054751396,0.2973424196243286
21,31,0.625,False,-0.0018851719796657562,-6.571085032192059e-05,-7.701265712967142e-05
22,20,0.625,False,-0.0009226445108652115,0.0433689528144896,0.23040070571005344
23,74,0.625,False,-0.0008065588772296906,0.005733143538236618,0.01888507418334484
24,26,0.625,False,-0.010297274217009544,-0.39158399403095245,-0.08949929475784302
25,60,0.625,True,-0.0007691550999879837,0.3491780161857605,0.29474902153015137
26,36,0.625,False,-0.008005030453205109,0.3824533633887768,0.7779808193445206
27,10,0.625,True,-0.0058802347630262375,0.188551664352417,0.01978403329849243
28,18,0.625,False,-0.00015862099826335907,-0.0025175800547003746,-0.006610487587749958
29,44,0.625,False,-0.00458100251853466,0.055055645294487476,0.04965518042445183
30,85,0.625,True,-0.0001292116940021515,2.384185791015625e-07,6.556510925292969e-06
31,25,0.625,False,-0.0023904722183942795,0.0012930572556797415,0.007657796842977405
32,30,0.625,False,-0.002052741125226021,0.0014556730166077614,0.0026459749788045883
33,11,0.625,False,-0.0024259500205516815,0.10079748556017876,0.25391480326652527
34,90,0.625,False,-0.0005380865186452866,0.009837488643825054,0.017775875981897116
35,48,0.625,True,-0.00039665959775447845,0.0011609196662902832,-0.00013107061386108398
36,45,0.625,False,-0.0015287809073925018,-0.00032398613984696567,-0.00041407442768104374
37,65,0.625,False,-6.301142275333405e-05,-1.5743309631943703e-05,0.0004415307193994522
38,33,0.625,True,-0.0018015317618846893,-0.22317463159561157,-0.07649105787277222
39,38,0.625,True,-0.0007909256964921951,0.3229392170906067,0.0656963586807251
40,22,0.625,True,-0.002183699980378151,0.20552119612693787,0.1801568865776062
41,0,0.625,True,-0.0018139481544494629,0.054144859313964844,0.0020072460174560547
42,54,0.625,True,-0.0025587640702724457,0.10231998562812805,0.2229684591293335
43,89,0.625,False,-0.00031539425253868103,-0.000276928796665743,-0.0013406452490016818
44,9,0.625,False,-0.0012123864144086838,0.06659785192459822,0.7843463188037276
45,64,0.625,False,-0.0003313664346933365,-0.0006661048391833901,-0.0006069694645702839
46,13,0.625,True,-0.000843314453959465,0.030025780200958252,0.012842774391174316
47,98,0.625,True,-0.00641704723238945,0.015185117721557617,0.00016945600509643555
48,62,0.625,True,-0.0035978443920612335,0.005707383155822754,0.0016360282897949219
49,59,0.625,False,-0.0009739231318235397,-0.0014587435871362686,0.014203047379851341
50,7,0.625,False,-0.0012430362403392792,0.05691967159509659,0.04102444648742676
51,12,0.625,True,-0.0001437366008758545,0.05238180607557297,0.1479106843471527
52,81,0.625,False,-0.001495610922574997,0.07050908822566271,0.15387023333460093
53,3,0.625,True,-0.0008212774991989136,0.5019585490226746,0.11058253049850464
54,29,0.625,False,-0.0004914160817861557,-7.485416426789016e-05,7.179856766015291e-05
55,16,0.625,False,-0.0010704472661018372,0.01886901818215847,0.009439747780561447
56,99,0.625,False,-0.0016085878014564514,-0.08210955560207367,-0.06785571575164795
57,42,0.625,False,-0.001509927213191986,0.008185111917555332,0.01757682440802455
58,96,0.625,True,-0.0030184537172317505,0.016309082508087158,0.0026040077209472656
59,83,0.625,True,-0.00046937912702560425,0.003121614456176758,0.0005245208740234375
60,57,0.625,False,-0.0002316199243068695,0.00351217994466424,0.002837792970240116
61,23,0.625,True,-0.0003886967897415161,-0.043596796691417694,-0.17108231782913208
62,21,0.625,False,-0.0010128691792488098,-0.03318388760089874,-0.05622713267803192
63,49,0.625,False,-0.003851676359772682,-3.85803468816448e-06,-5.217905709287152e-06
