experiment,gamma,fid,sfid,inception_score,num_samples,integrator,noise_sha256,label_sha256,total_nfe,elapsed_seconds,condition_name,fid_improvement_vs_baseline
depth6_v,0.4,72.50847227510525,218.37856548187756,30.28941535949707,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8572,59.946013920998666,gamma_schedule_sweep_v4_depth6_v_g0p4,12.461864789572076
depth6_v,0.45,73.90116229241005,219.59491392848622,29.915285110473633,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8770,77.00736113399034,gamma_schedule_sweep_v4_depth6_v_g0p45,11.069174772267274
depth6_v,0.5,75.58043424155926,221.00504482937436,29.2496337890625,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9334,64.15598331496585,gamma_schedule_sweep_v4_depth6_v_g0p5,9.389902823118064
depth6_v,0.55,77.81621309306536,222.839887528811,28.087501525878906,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9874,66.60311409202404,gamma_schedule_sweep_v4_depth6_v_g0p55,7.154123971611966
depth6_v,0.6,80.58411800358869,224.77136345195345,26.720062255859375,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10378,69.74124719697284,gamma_schedule_sweep_v4_depth6_v_g0p6,4.386219061088639
depth6_v,0.7,86.20446390601091,228.45339303511855,24.38503646850586,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,11212,76.80891026102472,gamma_schedule_sweep_v4_depth6_v_g0p7,-1.234126841333591
depth6_v,0.8,92.10239936787252,232.1659228522417,23.420854568481445,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12088,77.5750251589925,gamma_schedule_sweep_v4_depth6_v_g0p8,-7.132062303195198
depth6_v,0.9,97.78738575044679,235.16975734220034,20.369474411010742,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12634,83.4697246630094,gamma_schedule_sweep_v4_depth6_v_g0p9,-12.817048685769464
depth6_v,1.0,104.10002840301888,237.73856665280437,17.95789337158203,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12904,82.87329149799189,gamma_schedule_sweep_v4_depth6_v_g1,-19.12969133834156
depth8_v,0.0,84.97033706467732,222.25091085141594,29.52147102355957,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,48.78441646002466,gamma_schedule_sweep_v4_baseline_v800,0.0
depth8_v,0.1,77.9540963398722,219.28508805073125,30.318401336669922,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6730,50.23219108901685,gamma_schedule_sweep_v4_depth8_v_g0p1,7.0162407248051295
