gamma,response_scale,fid,sfid,inception_score,total_nfe,num_samples,global_seed,condition,replicate_count,fid_replicate_spread,noise_fingerprint,label_fingerprint
2.00,0.50,84.4455052537279,221.41600916210234,30.059907913208008,8128,1000,0,response_g2p0_r0p5_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,0.75,83.4870946469859,220.67586416091763,30.956274032592773,8086,1000,0,response_g2p0_r0p75_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.00,80.92217187396159,218.54288720552813,30.85723304748535,8098,1000,0,response_g2p0_r1p0_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.05,80.03149724783333,217.97775647572803,30.584033966064453,8068,1000,0,response_g2p0_r1p05_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.10,78.8676768550219,217.3245783707108,30.76670265197754,7984,1000,0,response_g2p0_r1p10_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.15,77.44458725482912,216.74087723560922,30.712432861328125,7894,1000,0,response_g2p0_r1p15_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.20,76.47229226924901,216.14582289166128,30.858600616455078,7930,1000,0,response_g2p0_r1p20_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.25,75.7820976739074,215.61086865784762,30.546287536621094,7984,1000,0,response_g2p0_r1p25_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.30,75.10390786529535,215.4488084291511,30.209556579589844,8044,1000,0,response_g2p0_r1p30_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.35,75.07909472927037,215.35381568697017,29.671295166015625,8002,1000,0,response_g2p0_r1p35_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
